SMILES,Mutagenicity
N[C@@H]1CC[C@@H](C[C@@H]2CC[C@@H](N)CC2)CC1,non-mutagenic
COC(=O)C12CC1(C=O)C(=CC3CC(C)(C)CC23)C=O,mutagenic
CCOC(=O)C(C)Br,mutagenic
COC1(CCCC1)OC2CCC3C4CCC5CC6SC6CC5(C)C4CCC23C,non-mutagenic
CCN(CCCl)CCCNc1c2CCCCc2nc3ccccc13,mutagenic
C\C(=C/C(=C/C1=CCOC1=O)/C)\C=C\C=C(/C)\C(=O)C23OC2C(O)(CCO)NC3=O,mutagenic
CCO[P@](=S)(CC)Sc1ccccc1,non-mutagenic
Nc1ccc(c(N)c1)[N+](=O)[O-],mutagenic
CCSCCSP(=O)(OC)OC,non-mutagenic
Cc1ccccc1C(=O)O,non-mutagenic
CC(=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C)C,mutagenic
Brc1ccccc1,non-mutagenic
Cc1cc(N)c(cc1Cl)S(=O)(=O)O,non-mutagenic
Oc1ccc2cc(SSc3ccc4cc(O)ccc4c3)ccc2c1,non-mutagenic
CN(C)CCNC(=O)c1cccc2C(=O)c3ccccc3C(=O)c12,mutagenic
Nc1snc2c(Cl)cc(Cl)cc12,mutagenic
ClCC1(C(Cl)Cl)C2CC(Cl)(Cl)C1(CC2(Cl)Cl)C(Cl)Cl,non-mutagenic
Cc1cc(O)c2C(=O)c3c(O)cc(O)c(c3C(=O)c2c1)c4c(O)cc(O)c5C(=O)c6c(O)cc(C)cc6C(=O)c45,non-mutagenic
COCCl,non-mutagenic
O=NN1CCOCC1,mutagenic
Nc1ccc(Oc2cccc(Oc3ccc(N)cc3)c2)cc1,mutagenic
Nc1ccc(Nc2ccccc2)cc1,non-mutagenic
CCCCCOC(=O)C(=C)C,non-mutagenic
OC(=O)c1ccccc1,non-mutagenic
Nc1ncnc2c1ncn2Cc3ccc(cc3)[N+](=O)[O-],mutagenic
C1c2cccc3ccc4cccc1c4c23,mutagenic
Fc1ccccc1c2ccccc2,non-mutagenic
Clc1ccc(cc1Cl)c2ccc(Cl)c(Cl)c2Cl,non-mutagenic
CC(=CCc1ccc(O)c2C(=O)c3c(O)c4c(OC5OC=CC45O)cc3Oc12)C,mutagenic
CC1COCc2cc3c(cc12)C(C)(C)C(C)C3(C)C,non-mutagenic
Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C,non-mutagenic
Nc1ccc2ccccc2c1N=Nc3ccc(cc3)[N+](=O)[O-],mutagenic
COc1cccc2C(=O)c3c(O)c4CC(O)(CC(OC5CC(N)C(O)C(C)O5)c4c(O)c3C(=O)c12)C(=O)CO,mutagenic
Oc1ccc(Cc2ccccc2O)cc1,non-mutagenic
COC(C)CCO,non-mutagenic
CC(=O)N(O)c1ccc(Oc2ccccc2)cc1,mutagenic
CC(C)(c1ccc(OP(O)O)cc1)c2ccc(OP(O)O)cc2,non-mutagenic
CCCCCCCC(=O)Cl,mutagenic
CC(C)(C)C(Br)C(=O)Nc1ccccc1,non-mutagenic
CCN(CC)CCNc1ccc2nc(C)n3c4ccc(O)cc4C(=O)c1c23,mutagenic
CCNC(=O)Nc1ncc(s1)[N+](=O)[O-],mutagenic
COc1ccc(O)c2C(=O)c3c(OC)cc4O[C@@H]5OC=C[C@H]5c4c3Oc12,mutagenic
[O-][N+](=O)c1cc2Oc3cc(Cl)c(Cl)cc3Oc2cc1Cl,mutagenic
COC(=O)C(=C)C,non-mutagenic
Oc1ccc2c3ccc(O)c4C(=O)C=C[C@@](O)([C@@H]5[C@H]6O[C@H]6C(=O)c1c25)c34,mutagenic
COC(=O)N,non-mutagenic
Cc1cc(C)n(n1)c2[nH]nc(NN)c3c4ccccc4nc23,non-mutagenic
Fc1cnc2ccc3cccnc3c2c1,mutagenic
SC(NC(=O)NC(S)c1nc2ccccc2s1)c3nc4ccccc4s3,mutagenic
Cc1c2ccccc2c(CBr)c3ccccc13,mutagenic
Nc1cccc2cc3CCCCc3nc12,mutagenic
COC(=O)C=C,non-mutagenic
CC(=O)Nc1c(O)cc2c3ccccc3c4cccc1c24,mutagenic
OC1Cc2cc3ccc4cccc5ccc(c2C=C1)c3c45,mutagenic
Oc1ccc2c(c1)c3ccc(c4cccc2c34)[N+](=O)[O-],mutagenic
OC1C=Cc2cc3ccccc3c(c2C1O)[N+](=O)[O-],non-mutagenic
Cc1ccc(N=Nc2c(O)c(cc3ccccc23)C(=O)O)c(c1)S(=O)(=O)O,non-mutagenic
CN=C1C=CC(=C(c2ccc(cc2)N(C)C)c3ccc(cc3)N(C)C)C=C1,non-mutagenic
CCCCN(COC(=O)C)N=O,mutagenic
C1CCC2=C(C1)c3cc4ccccc4c5cc6ccccc6c2c35,mutagenic
NP(=O)(OCCC(=O)O)N(CCCl)CCCl,mutagenic
Nc1c(O)cc(Cc2cc(Cl)c(N)c(OS(=O)(=O)O)c2)cc1Cl,non-mutagenic
C1CSCCO1,non-mutagenic
Cc1ccccc1N,mutagenic
O=C1c2ccccc2c3ccccc13,non-mutagenic
C1CCCC2OC2CC1,non-mutagenic
C1Cc2c(C=C1)ccc3nc4ccc5ccccc5c4cc23,mutagenic
CS(=O)(=O)Nc1ccc(Nc2c3ccc(cc3nc4ccc(cc24)N=N#N)N=N#N)cc1,non-mutagenic
CN(C)CCN(Cc1ccccc1)c2ccccn2,non-mutagenic
C\C=C(/Cl)\C1=CC(=O)C23CC2C(C)(C)OC3(O)C1=O,mutagenic
CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O,non-mutagenic
CCNc1ccccc1,non-mutagenic
Nc1ccccc1SCCSc2ccccc2N,mutagenic
ONC(=O)c1ccccc1O,mutagenic
Nc1c(O)cccc1[N+](=O)[O-],non-mutagenic
CC(C)(C)c1ccc(\C=C\c2ccc(N)cc2)cc1,non-mutagenic
OC(=O)C[C@H]([C@H](CC(=O)O)C(=O)O)C(=O)O,mutagenic
C1Cc2cccc3cccc1c23,non-mutagenic
CN(C)CCCNc1c2ccccc2nc3c(ccc(c13)[N+](=O)[O-])N(CCO)CCO,mutagenic
CCCCOc1ccc(cc1)N=O,mutagenic
Cc1cc(c(N)cc1Cl)S(=O)(=O)O,mutagenic
COC(=O)C1=CCCN(C)C1,mutagenic
CNC(=O)ON,mutagenic
OC(=O)C=C,non-mutagenic
OC(=O)CC(=O)O,non-mutagenic
CCCCC=O,non-mutagenic
O=Nc1ccccc1c2ccccc2,mutagenic
CN(C1CCN(CC1)c2nc3ccccc3n2Cc4ccc(F)cc4)c5nccc(O)n5,non-mutagenic
CSC(C)(C)C(=O)NC(CS)C(=O)O,non-mutagenic
C[n+]1ccc(cc1)c2cc[n+](C)cc2,non-mutagenic
OC(CN=N#N)C(O)C(O)C(O)C=O,mutagenic
CCCCCNc1snc2ccccc12,non-mutagenic
CCCCCCCCCCCC(=O)OOC(=O)CCCCCCCCCCC,non-mutagenic
Cc1ccc(cc1S(=O)(=O)O)[N+](=O)[O-],non-mutagenic
OS(=O)(=O)c1cccc(c1)[N+](=O)[O-],non-mutagenic
COc1ccc(O)c(c1)C(C)(C)C,non-mutagenic
[O-][N+](=O)c1ccc2C(=O)N(CCl)C(=O)c2c1,mutagenic
CC1CC(C)(C)c2cc(C(=O)C)c(C)cc2C1(C)C,non-mutagenic
OCc1cc2ccc3cccc4ccc(c1)c2c34,mutagenic
CCCCON(OC(=O)C)C(=O)c1ccc(cc1)c2ccccc2,mutagenic
C[C@]12CC[C@H]3[C@@H](CCC4=C3CCC(=O)C4)[C@H]1CC[C@@]2(O)C#C,non-mutagenic
N#Cc1ccccc1C#N,non-mutagenic
CC(=O)Nc1cc(ccc1C)N=[N+]([O-])c2ccc(C)c(NC(=O)C)c2,non-mutagenic
CC(C)OC(=O)C1=C(C)N=C(N)C(=C(O)OC2CN(C2)C(c3ccccc3)c4ccccc4)C1c5cccc(c5)[N+](=O)[O-],non-mutagenic
C1CN=C(N1)c2ccc(cc2)c3cc4ccc(cc4[nH]3)C5=NCCN5,non-mutagenic
CC1CC2C(Cc3c[nH]c4cccc2c34)N(C)C1,mutagenic
CCCCCCOC(=O)C=C,non-mutagenic
CN(C)N=Nc1ccc(cc1)C(=O)O,non-mutagenic
ClC(Cl)(Cl)c1ccccc1,mutagenic
CCCCCCCCCCCCCCCCCCNC(=O)CCCCCCCCCCC\C=C\CCCCCCCC,non-mutagenic
CC1(C)OC1COc2c3OC(=O)C=Cc3cc4ccoc24,non-mutagenic
CCC(CC)[N+](=O)[O-],non-mutagenic
CCCC(=O)\N=C\1/SN(C(=O)CCC)c2ccc(cc12)[N+](=O)[O-],mutagenic
Cc1ccc(cc1)C#N,non-mutagenic
[O-][N+](=O)c1ccc2ccc3ccc(c4c5ccccc5c1c2c34)[N+](=O)[O-],non-mutagenic
COc1nsc2cc(OCC3CO3)ccc12,mutagenic
OC(=O)c1c(Cl)c(Cl)c(Cl)c2Oc3c(Br)c(O)c(Br)cc3C(=O)c12,non-mutagenic
CCCCN(N=O)C(=N)N[N+](=O)[O-],mutagenic
CCCON=O,mutagenic
CN(C)S(=O)(=O)N(SC(F)(Cl)Cl)c1ccccc1,non-mutagenic
OC1C2OC2C3=C(C=CC4C3c5cccc6cccc4c56)C1O,mutagenic
Clc1c(Cl)c(Cl)c2C(=O)OC(=O)c2c1Cl,non-mutagenic
C1Cc2ccc3ccc4ccccc4c3c2C1,mutagenic
NCCC#N,non-mutagenic
Clc1cccc2oc3ccccc3c12,non-mutagenic
C[C@@H]1C=Cc2c1ccc3c2ccc4ccccc34,mutagenic
CCCCC,non-mutagenic
Cc1cccc(O)c1,non-mutagenic
CCCC(=O)OCc1ccccc1[N+](=O)[O-],non-mutagenic
BrCc1ccccc1,mutagenic
NC(CCN=N#N)C(=O)O,mutagenic
COc1ccc2oc(cc2c1N(CCCl)CCCl)[N+](=O)[O-],mutagenic
CC(C)CCOC(=O)\C=C/c1ccccc1,non-mutagenic
FC(F)(F)c1ccccc1Cl,non-mutagenic
Cc1ccc(cc1)S(=O)(=O)NN,mutagenic
FC(F)C(F)(F)F,non-mutagenic
Cc1ccccc1S(=O)(=O)N,non-mutagenic
Cc1cnc(S)nc1O,non-mutagenic
[O-][N+](=O)c1ccc(Cl)c(c1)[N+](=O)[O-],mutagenic
c1cc2ccc3cncc4ccc(c1)c2c34,mutagenic
ClC(=C1C(=O)NC(=O)C1(Cl)Cl)Cl,mutagenic
c1ccc2cc3c(ccc4cccnc34)cc2c1,mutagenic
CC(C)N(C(C)C)C(=O)SCC(=C(Cl)Cl)Cl,mutagenic
Cc1ccc(N)c(C)c1,mutagenic
CN(C[C@H](O)CO)N=O,mutagenic
CC(C)(C)NCC(O)c1cc(Cl)c(N)c(c1)C(F)(F)F,non-mutagenic
ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl,mutagenic
CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,mutagenic
CC12CCCC(C)(C1CCC34CC(O)(CCC23)C5(CO5)C4)C(=O)O,non-mutagenic
O[C@H]1C=Cc2c(ccc3c4cccc5cccc(c23)c45)[C@@H]1O,mutagenic
CC1C2C(=Nc3ccccc23)N(C)c4ccc(C)cc14,mutagenic
OC(=O)\C=C\c1ccc(Cl)cc1,non-mutagenic
CCc1ccc(cc1)[N+](=O)[O-],non-mutagenic
NC(=O)CCCCC(=O)N,non-mutagenic
[O-][N+](=O)c1cccc2c1ccc3cccc(c23)[N+](=O)[O-],mutagenic
CCCCOC(=O)c1ccccc1C(=O)OCCCC,non-mutagenic
OC(=O)C1Cc2c(CN1)[nH]c3ccccc23,non-mutagenic
CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CN)C(=O)O,non-mutagenic
NC(CS\C(=C(/Cl)\C(Cl)(Cl)Cl)\Cl)C(=O)O,mutagenic
[O-][N+](=O)c1ccc(cc1)C(=O)ON(OCc2ccccc2)C(=O)c3ccccc3,mutagenic
COc1cccc(N)c1,mutagenic
CCCNC(=O)\C=C\c1oc(cc1)[N+](=O)[O-],mutagenic
O=P1(Oc2ccccc2)OCc3ccccc3O1,mutagenic
Cc1cc(ccc1N=Nc2c(O)c3c(O)cc(cc3cc2S(=O)(=O)O)S(=O)(=O)O)c4ccc(N=Nc5c(O)c6c(O)cc(cc6cc5S(=O)(=O)O)S(=O)(=O)O)c(C)c4,non-mutagenic
CN(C)c1ccc(cc1)N=O,mutagenic
CN(C)N=Nc1ccc(Br)cc1,mutagenic
CC(=C)C(=O)OC(C)(C)C,non-mutagenic
CCc1ccccc1,non-mutagenic
Nc1nc(O)c2nc(O)n(C3OC(CO)C(O)C3O)c2n1,non-mutagenic
Nc1ccc2c3ccccc3c4cccc1c24,mutagenic
CNCc1oc(CSCCN=C(NC[C@H](O)c2ccc(O)cc2)NS(=O)(=O)C)cc1,non-mutagenic
Nc1ccc(cc1C#N)[N+](=O)[O-],mutagenic
Cc1cccc(N)c1N,mutagenic
CCOC(=O)C[C@H](SP(=S)(OC)OC)C(=O)OCC,non-mutagenic
Nc1cccc2cccnc12,mutagenic
CC(=O)C(N=Nc1ccc(cc1Cl)c2ccc(N=NC(C(=O)C)C(=O)Nc3ccc(C)cc3C)c(Cl)c2)C(=O)Nc4ccc(C)cc4C,non-mutagenic
N#CCCNCCC#N,non-mutagenic
CC(C)C=O,non-mutagenic
Nc1nc2cc(Cl)c(Cl)cc2s1,non-mutagenic
COc1ccc(C=C)cc1,non-mutagenic
CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3C(Cl)CC4=CC(=O)C=CC4(C)C3C(O)CC12C,non-mutagenic
Clc1ccnc2ccccc12,mutagenic
COC1=CC(=O)c2c([nH]cc3c4cnccc4nc23)C1=O,mutagenic
ClCC1=C(Br)C(=O)OC1,mutagenic
CN1CCN(CC1)C2=Nc3ccccc3Oc4ccc(Cl)cc24,non-mutagenic
COc1cc2CCN(C)[C@H]3Cc4ccc(Oc5cc(C[C@@H]6N(C)CCc7cc(OC)c(OC)c(Oc(c1)c23)c67)ccc5OC)cc4,mutagenic
CN1CCN(CC1)c2ccc3[nH]c(nc3c2)c4ccc5[nH]c(nc5c4)c6ccc(O)cc6,non-mutagenic
OS(=O)(=O)C1=CC(=O)C(=O)c2ccccc12,mutagenic
Cc1ccc(cc1)S(=O)(=O)NC(=O)Nc2ncc(s2)[N+](=O)[O-],non-mutagenic
NC(=N)S(=O)O,non-mutagenic
Cc1c(ccc2ccccc12)[N+](=O)[O-],mutagenic
CC(=O)ON(OCc1ccc(Br)cc1)C(=O)c2ccccc2,mutagenic
CP1(C)NP(C)(C)NP(C)(C)N1,non-mutagenic
CC(C)CCOCC(=O)OCC=C,non-mutagenic
Cl[C@@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@@H]1Cl,non-mutagenic
OC1C2OC2c3c(ccc4cc5ccc6ccccc6c5nc34)C1O,mutagenic
C[C@]12CC[C@@H]3[C@@H](CCc4cc(O)ccc34)[C@H]1CC[C@@H]2O,non-mutagenic
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,non-mutagenic
CNC(=O)CSP(=S)(OC)OC,mutagenic
CC[N+]([O-])(CC)CCNc1ccc(CO)c2Sc3ccccc3C(=O)c12,mutagenic
COc1cc2C(=O)CCc2c3c(C)cc4ccccc4c13,mutagenic
CCOc1ccccc1C(=O)N,non-mutagenic
OS(=O)(=O)c1ccc2cc(Oc3ccc4cc(ccc4c3)S(=O)(=O)O)ccc2c1,non-mutagenic
CS(=O)c1ccc(Cl)cc1,non-mutagenic
CCCCCCCC\C=C/CCCCCCCCN,mutagenic
NCCCNCCCN,non-mutagenic
NCCNCCO,mutagenic
COC(=O)[C@]12O[C@@]1(C)[C@@](O)(NC2=O)C(C)C,mutagenic
CCOS(=O)(=O)OCC,mutagenic
COc1cc(O)c2C(=O)c3c(O)cc(C)cc3Cc2c1,mutagenic
CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@]2(O)C#C,non-mutagenic
Cc1ccc(OC[C@H]2CO2)cc1,mutagenic
[O-][N+](=O)c1ccc2c3ccccc3cc(c2c1)[N+](=O)[O-],mutagenic
CC1=CC(=O)c2ccccc2C1=O,mutagenic
CCCCCCCCc1ccc(Nc2ccc(CCCCCCCC)cc2)cc1,non-mutagenic
Cc1ccc(Cl)cc1[N+](=O)[O-],non-mutagenic
O=C([C@@H]1CO1)c2ccc3OCOc3c2,mutagenic
CCCC(=O)OC1CCCCC1,non-mutagenic
CC1Cc2c(O)c(C)c3C4C(CCC(=C)c3c2C1=O)C4(C)C,non-mutagenic
CCC1(O)CC(OC2CC(C(OC3CC(O)C(O)C(C)O3)C(C)O2)N(C)C)c4c(O)c5C(=O)c6c(O)ccc(O)c6C(=O)c5cc4C1C(=O)OC,mutagenic
CCCCCCCCC=O,non-mutagenic
CS(=N)(=O)CCC(N)C(=O)O,non-mutagenic
COc1ccccc1NCSC,mutagenic
Clc1cccc(C=O)c1,non-mutagenic
CCC1=C(C(C)c2cc(O)ccc12)c3ccc(O)cc3,non-mutagenic
CCCCCCCCN1SC=CC1=O,non-mutagenic
CC(C)CCCC(C)CCCC(C)CCCC1(C)CCc2c(C)c(OC(=O)C)c(C)c(C)c2O1,non-mutagenic
COc1ccc(CCC(=O)c2c(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)cc2O)cc1O,non-mutagenic
c1ccc2cnncc2c1,non-mutagenic
OS(=O)(=O)OCc1c2ccccc2c3ccc4cccc5ccc1c3c45,mutagenic
O=CC(=O)c1ccccc1,mutagenic
Oc1ccc(cc1[N+](=O)[O-])c2ccc(O)c(c2)[N+](=O)[O-],non-mutagenic
[O-][N+](=O)c1cccc(COC(=O)c2ccccc2)c1,non-mutagenic
COC(=O)\C(=C\c1ccccc1Br)\C#N,non-mutagenic
[O-][N+](=O)c1ccc2c(oc3ccc(cc23)[N+](=O)[O-])c1,mutagenic
Cc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])N=[N+]([O-])c2cc(cc(c2C)[N+](=O)[O-])[N+](=O)[O-],mutagenic
C1CSCN1,mutagenic
OCCc1cn(N=O)c2ccccc12,mutagenic
CN(Cc1cccc(C)c1)N=O,mutagenic
CC(C)(CO)CO,non-mutagenic
ClN1C(=O)NC(=O)N(Cl)C1=O,non-mutagenic
COC(=O)\C(=C\c1occc1)\C#N,non-mutagenic
COc1cc(c(O)c(c1)C(C)(C)C)c2cc(OC)cc(c2O)C(C)(C)C,non-mutagenic
Nc1ccc(cc1)C(=O)O,non-mutagenic
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,mutagenic
OC(=O)\C=C\c1ccccc1,non-mutagenic
[O-][N+](=O)c1cccc(c1)C#N,mutagenic
COc1cc2CCN(C)c3cc4cc5OCOc5cc4c(c1OC)c23,non-mutagenic
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(Cl)cc3,non-mutagenic
CCN(CC)c1ccc(cc1)[N+](=O)[O-],mutagenic
CCCCON(OC(=O)C)C(=O)c1ccc(cc1)C(C)(C)C,mutagenic
C\C=C(/C)\CCl,mutagenic
COc1cc(CC2CO2)ccc1O,mutagenic
Cc1c2ccccc2cc3c4C5OC5C(O)C(O)c4ccc13,mutagenic
COCCO,non-mutagenic
Fc1cc2ccccc2c3ncccc13,mutagenic
Cc1ccc2cc3c(ccc4ccccc34)c5CCc1c25,mutagenic
CC1(CO1)c2ccc(cc2)C#N,mutagenic
Cc1ccc(NCCO)cc1O,non-mutagenic
C1OCc2ccccc12,mutagenic
Fc1ccc(cc1)\C(=C\C=C\c2ccccc2)\C#N,mutagenic
COC1=NC(=O)N(CC(O)CN=N#N)C=C1,mutagenic
[O-][N+](=O)c1ccc(Oc2ccc(cc2)N=C=S)cc1,mutagenic
CC(C)C(C)C,non-mutagenic
c1ccc2nc3c4ccccc4c5ccccc5c3cc2c1,mutagenic
OC[C@H]1O[C@H](C[C@@H]1O)N2C=C(C(=O)NC2=O)C(F)(F)F,mutagenic
CNc1ccccc1,non-mutagenic
OC(=O)C(=O)C(=O)O,non-mutagenic
C1c2cccc3ccc4c5ccccc5cc1c4c23,mutagenic
CC(=O)Oc1ccc2c(OC3(C)OOC23C)c1,mutagenic
CCOc1ccc(NC(=O)C)cc1[N+](=O)[O-],mutagenic
C\C=C\1/C[C@H]2C[C@@H]1C=C2,non-mutagenic
[O-][N+](=O)c1ccc2ccc3c4CCC=Cc4cc5ccc1c2c35,mutagenic
Nc1ncnc2c1nc(c3ccc(cc3)[N+](=O)[O-])n2c4ccc(cc4)[N+](=O)[O-],mutagenic
ON=C1CCCCC1,mutagenic
COC1=CC(=O)c2c([nH]cc3c4ccccc4nc23)C1=O,mutagenic
NC(=N)NNc1ccc(cc1)N=NC(=S)N,mutagenic
CCc1c2ccccc2cc3c1ccc4ccccc34,mutagenic
Cc1cnc2c(ccc3c2nc(N)n3C)n1,mutagenic
BrC(=C)C=O,mutagenic
[O-][N+](=O)c1ccnc2ccccc12,mutagenic
Cn1c(N)nc2nc3ncccc3cc12,non-mutagenic
CN1CCC23C4Oc5c(O)ccc(CC1C2C=CC4O)c35,non-mutagenic
Oc1ccc2ccc3[nH]c4ccc5ccccc5c4c3c2c1,mutagenic
CCCCCCCCCCO,non-mutagenic
[O-][N+](=O)c1ccc(c2ccccc2[N+](=O)[O-])c(c1)[N+](=O)[O-],mutagenic
Cc1cccc(c1)C(=O)Cl,mutagenic
OCC1OC(CC1O)N2C=C(CCCl)C(=O)NC2=O,mutagenic
Nc1cccc2cnsc12,mutagenic
COc1c2ccoc2[n+]([O-])c3ccccc13,non-mutagenic
COc1cc2O[C@@H]3OC=C[C@H]3c2c4Oc5cccc(O)c5C(=O)c14,mutagenic
CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCCCC,non-mutagenic
CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CC(O)C(OC6OC(CO)C(O)C(O)C6O)C(C)(C5CCC34C)C(=O)O)C2C1)C(=O)O,non-mutagenic
OC(=O)CCC(=O)Nc1ccc(Cl)cc1,non-mutagenic
OC(Cn1ccnc1)c2ccc(CCc3ccccc3)cc2,non-mutagenic
CCCCOP(=O)(OCCCC)OCCCC,non-mutagenic
COC(=O)\C(=C\c1oc(Br)cc1)\C#N,non-mutagenic
CC(C)(CO)C(O)C(=O)NCCC(=O)O,non-mutagenic
ClCc1ccc2ccc3cccc4ccc1c2c34,mutagenic
O[C@@H]1C=Cc2c(cc3ccc4c(ccc5ccc2c3c45)[N+](=O)[O-])[C@H]1O,mutagenic
c1ccc2nccnc2c1,mutagenic
N#CC1=Cc2cccc3cccc1c23,mutagenic
CN1CCc2cc3OCOc3c4c5ccccc5CC1c24,mutagenic
CC1(C)C2CCC(=C)C1C2,non-mutagenic
NC(=N)NS(=O)(=O)c1ccc(N)cc1,non-mutagenic
CN(C)c1ccc(cc1)N=Nc2ccc(cc2)N(C)C,non-mutagenic
CC(C)CCCC(C)C1CCC2C3CC4OC45CC(O)CCC5(C)C3CCC12C,mutagenic
Nc1cc(c(c2ccccc2)c(c1)[N+](=O)[O-])[N+](=O)[O-],mutagenic
OCCBr,mutagenic
CC(C)CCCC(C)C1CCC2C3C(OO)C=C4CC(O)CCC4(C)C3CCC12C,mutagenic
C[C@@H](O)CN(C)c1ccc(NN)nn1,mutagenic
Oc1ccc(cc1)c2ccccc2,mutagenic
CC(=O)\C=C/C1=C(C)CCCC1(C)C,non-mutagenic
COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@@H]([C@@H](O)[C@H](C)O5)N(C)C)c4c(O)c3C(=O)c12)C(=O)C,mutagenic
COc1cc(ccc1N)[N+](=O)[O-],mutagenic
C\C=C/1\C[C@H](C)[C@](O)(CO)C(=O)OCC2=CC[N@@+]3([O-])CC[C@@H](OC1=O)[C@@H]23,non-mutagenic
COC1(NC(=O)CSCC(N)C(=O)O)C2SCC(=C(N2C1=O)C(=O)O)CSc3nnnn3C,non-mutagenic
CN(C)CCCN1C=CN(C)C1\C=N\O,non-mutagenic
CC12OOC1(C)c3c(O2)ccc4ccccc34,non-mutagenic
CN(C)CCNC(=O)c1cccc2nc(oc12)c3ccccc3,non-mutagenic
OCCCCl,mutagenic
OC(=O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,non-mutagenic
CC(=O)OC[C@H](O)CO,mutagenic
COCC(=O)O,non-mutagenic
Oc1ccc2ccccc2c1N=O,non-mutagenic
Cc1c(N)cccc1N=Nc2cccc(N)c2C,mutagenic
