STRUCTURE_SMILES,ActivityOutcome_CPDBAS_MultiCellCall
N(C1C=CC(=CC=1)N=O)C2=CC=CC=C2,carcinogenic
N(C1=CC=CC=C1)NC2=CC=CC=C2,carcinogenic
N(C(=O)N)(N=O)CC(=O)O,carcinogenic
N(CC(C)O)(CC=C)N=O,carcinogenic
C(NN)(N)=O.Cl,carcinogenic
S=C([S-])N(C)C.[S-]C(N(C)C)=S.[Zn+2],carcinogenic
NC1=CC=C(C2=CC=C(N)C=C2)C=C1,carcinogenic
O=C1N(CCC1)C,carcinogenic
F/C(F)=C(\F)F,carcinogenic
CCCCOCCO,carcinogenic
FCCl,carcinogenic
FC(F)(F)CNC(=N)Nc1ccn(CCCCC(N)=O)n1,carcinogenic
N(CCN(C)C)(C)N=O,carcinogenic
N(CCCCO)(CCCC)N=O,carcinogenic
N(CCCCCCCCCCCCCC)(C)N=O,carcinogenic
N(N)(CC)C=O,carcinogenic
N(N(CCCO)C)=O,carcinogenic
C1(=CC=C(Cl)C=C1)N.[H]Cl,carcinogenic
N(CC(CO)O)(CC(O)C)N=O,carcinogenic
N(CC(CO)O)(CC(C)=O)N=O,carcinogenic
N(CC(CO)O)(C)N=O,carcinogenic
O=[N+](C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[O-],carcinogenic
N(CCCC(F)(F)F)(CCCC(F)(F)F)N=O,carcinogenic
N(CC=C)(CCO)N=O,carcinogenic
[O-]\[N+](CC)=N/C,carcinogenic
NC1=CC=C(C=C1)C2=CC=CC=C2,carcinogenic
NC1=CC=C(C=C1)C2=CC=C(C=C2)F,carcinogenic
NC1=CC=CC(C)=C1.[H]Cl,carcinogenic
NC1=CC=C(C2=CC=C(N)C(OC)=C2)C=C1OC.Cl.Cl,carcinogenic
NC1=CC=C(C=C1)OC2=CC=C(C=C2)Cl,carcinogenic
NC1=CC(S(=O)([O-])=O)=CC2=C1C(O[Cu]OC4=C(C=CC(C5=CC(O[Cu]OC7=C(C(S(=O)([O-])=O)=CC8=C7C(N)=CC(S(=O)([O-])=O)=C8)\N=N6)=C/6C=C5)=C4)\N=N3)=C/3C(S(=O)([O-])=O)=C2.[Na+].[Na+].[Na+].[Na+],carcinogenic
NC1=CC(=CC=C1C)Cl,carcinogenic
NC1=C5C(C=C(S(=O)([O-])=O)C(/N=N/C6=CC=CC=C6)=C5O)=CC(S(=O)([O-])=O)=C1/N=N/C2=CC=C(C3=CC=C(/N=N/C4=C(N)C=C(N)C=C4)C=C3)C=C2.[Na+].[Na+],carcinogenic
BrC1=C(OC2=C(Br)C(Br)=C(Br)C(Br)=C2Br)C(Br)=C(Br)C(Br)=C1Br,carcinogenic
NC1=CC=C(/N=N/C2=CC=CC=C2)C(N)=N1.Cl,carcinogenic
NC1=CC=C(/C=C/C2=CC(OC)=CC=C2OC)C=C1,carcinogenic
C1(C2=CC(=C(N)C=C2)C)(=CC(=C(N)C=C1)C).[H]Cl.[H]Cl,carcinogenic
NC1C=CC2=C(N=1)NC3=CC=CC=C23,carcinogenic
NC1=NN=C(C2=CC=C([N+]([O-])=O)O2)S1,carcinogenic
NC3=CC1=C(C=C3)OC2=C1C=CC=C2,carcinogenic
NC2=NC(C3=CC=CC=C3)=C(CCOCC)C1=NC=NN12,carcinogenic
O=NN(C)CCOS(C1=CC=C(C)C=C1)(=O)=O,carcinogenic
[O-][N+](C2=CC=C(O2)C1=CSC(NN(C)C)=N1)=O,carcinogenic
NC1=CC2=C(C=CC=C2)C=C1,carcinogenic
NC1=CC=CC=C1[H]Cl,carcinogenic
O=S(\N=C(NCCSCC2=CC=C(CNC)O2)/NCC(C1=CC=C(O)C=C1)O)(C)=O,carcinogenic
NC1=NC(C3=C(N=CC=C3)C=C2)=C2N1C,carcinogenic
NC1=NC(C2=CC=C([N+]([O-])=O)O2)=CS1,carcinogenic
NC(=O)NNC1=CC=CC=C1,carcinogenic
O=[N+](C1=CC=CC2=CC=CN=C12)[O-],carcinogenic
NC(=O)N(CC=C)N=O,carcinogenic
NC(N3C)=NC2=C3C(C)=CC1=NC=CC=C12,carcinogenic
C(/C1=CC=C(C=C1)N(CC2=CC(=CC=C2)S(=O)(=O)[O-])CC)(=C3\C=C/C(C=C3)=[N+](/CC4=CC(=CC=C4)S(=O)(=O)[O-])CC)C5=CC=C(C=C5)N(C)C.[Na+],carcinogenic
NC(=O)OC=C,carcinogenic
N1C2=C(C3=C1C=CC=C3)C(=NC(=C2C)N)C.CC(=O)O,carcinogenic
N1(C(=CN=C1C)[N+](=O)[O-])CCO,carcinogenic
O(C)c1cc(CC=C)ccc1OC,carcinogenic
CCBr,carcinogenic
NC(=O)C=C,carcinogenic
N/1C(N(\C=C\1)C)=S,carcinogenic
CC(C)(O)CC[C@@H](O)[C@@H](C)[C@H]2CC[C@@]1(O)C/3=C/C(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]\3CC[C@@]12C,carcinogenic
NC1=C(C=CC(=C1)N)Cl,carcinogenic
NC1=C(C=CC(=C1)N)C,carcinogenic
NC1=C2C(=NC(=N1)N)N=C(C(=N2)C3=CC=CC=C3)N,carcinogenic
NC1=C2C(=CC=C1)C(=CC=C2)N,carcinogenic
NC1=C(C=CC=C1)C(=O)OC/C=C/C2=CC=CC=C2,carcinogenic
NC1=C(C=C(C=C1Cl)Cl)Cl,carcinogenic
O=P(OCC(CBr)Br)([O-])OCC(CBr)Br.O=P(OCC(CBr)Br)([O-])OCC(CBr)Br.[Mg+2],carcinogenic
NC1(=C(C=CC(=C1)N)C).[H]Cl.[H]Cl,carcinogenic
NC1=C(C=CC(=C1)Cl)N,carcinogenic
Cl\C=C\CCl,carcinogenic
NC1=C(C=C(C=C1Cl)N)Cl,carcinogenic
ClC1=C(C=CC(=C1)CC2=CC(=C(C=C2)N)Cl)N,carcinogenic
ClC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)Cl)N,carcinogenic
O=P(OCC(CBr)Br)(OCC(CBr)Br)OCC(CBr)Br,carcinogenic
ClC1=C(C=CC=C1)[N+](=O)[O-],carcinogenic
[H][C@]12N(CC=C2COC([C@@](O)(C(O)(C)C)[C@H](C)OC)=O)CC[C@@H]1OC(\C(C)=C/C)=O,carcinogenic
ClC1=C(C=CC(=C1)Cl)OC2=CC=C(C=C2)[N+](=O)[O-],carcinogenic
ClC1/C=C\C2C1C3(Cl)C(/Cl)=C(/Cl)C2(Cl)C3(Cl)Cl,carcinogenic
OC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl,carcinogenic
ClC#CCl,carcinogenic
ClC1=C(C(=C(C(=C1OC)Cl)Cl)Cl)Cl,carcinogenic
CCN(CC)N=O,carcinogenic
OCC1CO1,carcinogenic
ClC1C(C(C(Cl)C(C1Cl)Cl)Cl)Cl,carcinogenic
O=C(N(CCCCC)N=O)OCC,carcinogenic
ClC1=NC(SCC(NCCO)=O)=NC(NC2=CC=CC(C)=C2C)=C1,carcinogenic
C1(=C(C=CC(=C1)N(CCO)CCO)NC)[N+]([O-])=O,carcinogenic
ClC2(Cl)C1(Cl)C(\Cl)=C(\Cl)C2(Cl)C(C1C(O)=O)C(O)=O,carcinogenic
ClC2(C(Cl)3Cl)C(Cl)=C(Cl)C3(Cl)C1CC(Cl)C(Cl)C12,carcinogenic
ClC1=CC=C(C=C1)Cl,carcinogenic
ClC1=C(Cl)C(Cl)=CC2=C1OC3=C(C=C(Cl)C(Cl)=C3Cl)O2,carcinogenic
O=NN(CCCCCC1)CCCCCC1,carcinogenic
C1(C(=CC=C(C=1)C)C)N.[H]Cl,carcinogenic
ClC1=CC2=C(C=C1Cl)OC3=C(C=C(C(=C3)Cl)Cl)O2,carcinogenic
ClC1=CC=C2C(=C1)C(=NC(O)C(=O)N2)C3=CC=CC=C3,carcinogenic
BrC(Br)Br,carcinogenic
ClC(=C(C1=CC=C(C=C1)Cl)C2=CC=C(C=C2)Cl)Cl,carcinogenic
NC1=C(C=C2C3=C(C=CC=C3)OC2=C1)OC,carcinogenic
ClC(C(=O)O)(Cl)Cl,carcinogenic
ClC(=CCl)Cl,carcinogenic
ClC(=CCl)Cl,carcinogenic
C[C@@H](CC)C(=O)O[C@H]2C[C@@H](C)\C=C3\C=C/[C@H](C)[C@H](CC[C@@H]1C[C@@H](O)CC(=O)O1)[C@@H]23,carcinogenic
C1CCCO1,carcinogenic
O=[N+](C1=CC=C(C=C1)Cl)[O-],carcinogenic
Cl\C(Cl)=C(Cl)/C(Cl)=C(Cl)\Cl,carcinogenic
Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl,carcinogenic
Cl[C@@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,carcinogenic
ClC(Cl)(Cl)Cl,carcinogenic
CC1=C(C=CC=C1)/N=N/C2=CC(=C(C=C2)N)C,carcinogenic
ClC(CC(Cl)C(Cl)CCC(Cl)CC)C(Cl)C(Cl)CCl,carcinogenic
ClC/C=C/CCl,carcinogenic
ClC(Cl)C(F)(F)F,carcinogenic
ClC(Cl)Br,carcinogenic
ClC(C(Cl)(Cl)Cl)(Cl)Cl,carcinogenic
NC(=O)OCC,carcinogenic
ClC(C(C1=CC=C(C=C1)Cl)C2=CC=C(C=C2)Cl)(Cl)Cl,carcinogenic
CCCC1=CC2=C(C=C1)OCO2,carcinogenic
C1=CC=CC=C1,carcinogenic
ClC(C(Cl)Cl)(Cl)Cl,carcinogenic
O=NN1CCCCCCC1,carcinogenic
CN(N=O)C1=CC=C(C=C1)C=CC2=C3C=CC=CC3=NC=C2,carcinogenic
CN(N=O)C(=O)NCCC[C@H](N)C(O)=O,carcinogenic
C12=C3C(C4=C(C(O3)=O)C(=O)CC4)=C(C=C1OC5C2C=CO5)OC,carcinogenic
CN1C2=C(C3=NC(=CN=C3C=C2)C)N=C1N,carcinogenic
CN1C2=C(C(OC)=CC3=C2C=CC(O3)(C)C)C(C4=C1C=CC=C4)=O,carcinogenic
CN(CCCCCCCCCCC)N=O,carcinogenic
CN(CC)N=O,carcinogenic
CN(CC(C)=O)N=O,carcinogenic
CN(N=O)C,carcinogenic
C1N(C(OC1)=O)N=O,carcinogenic
CN(CCO)N=O,carcinogenic
COC2=CC=C(C=C2)CN(CCN(C)C)C1=NC=CC=C1.OC(\C=C/C(O)=O)=O,carcinogenic
COC1C=C(C=CC=1C2NC3=CN=CC=C3N=2)S(C)=O,carcinogenic
O=C1NC(=O)NC=C1,carcinogenic
C=CC1=CC=CC=C1,carcinogenic
CS(=O)(=O)OC,carcinogenic
O=C1C(=CNC(=O)N1)F,carcinogenic
CNN,carcinogenic
CN1N(C2=CC=CC=C2)C(=O)C=C1C,carcinogenic
CN1CC[C@H]2OC(=O)C3(C[C@@H](C)[C@@](C)(O)C(=O)OC\C(=C\C1)C2=O)O[C@@H]3C,carcinogenic
COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,carcinogenic
COC1=C(O)C=CC(=C1)C=NNC(=O)C2=CC=NC=C2,carcinogenic
COC1=C(C=CC=C1)[N+](=O)[O-],carcinogenic
ClCC1=CC=CC=C1,carcinogenic
ClCC(Cl)CCl,carcinogenic
Cn3nc(CO)nc3NCCCOc2cc(CN1CCCCC1)ccc2,carcinogenic
ClCCN(C(COC2=CC=CC=C2)C)CC1=CC=CC=C1.Cl,carcinogenic
ClCCl,carcinogenic
N(CC(CO)O)(CC=C)N=O,carcinogenic
ClC2=C(C=CC=C2Cl)C1=C(Cl)C=C(Cl)C=C1,carcinogenic
ClC2=C(C=CC(Cl)=C2Cl)C1=C(Cl)C(Cl)=CC=C1,carcinogenic
O=C(N(C)C)Cl,carcinogenic
ClC54C(=O)C1(Cl)C2(Cl)C5(Cl)C3(Cl)C4(Cl)C1(Cl)C2(Cl)C3(Cl)Cl,carcinogenic
ClC53C1(Cl)C4(Cl)C2(Cl)C1(Cl)C(Cl)(Cl)C5(Cl)C2(Cl)C3(Cl)C4(Cl)Cl,carcinogenic
O=C(NCO)C=C,carcinogenic
CN(C)CNc2nnc(/C=C/c1ccc(o1)[N+]([O-])=O)o2,carcinogenic
CN(C)CCN(CC2=CC=CS2)C1=NC=CC=C1.Cl,carcinogenic
NC(=O)N(CC)N=O,carcinogenic
CN(C1=CC=CC=C1)N=O,carcinogenic
ClC(C(Cl)Cl)Cl,carcinogenic
CN(C)N,carcinogenic
ClCCN[P]1(=O)OCCCN1CCCl,carcinogenic
ClCCN(CCCl)C1=CC=C(CC(OC3=CC=C(C4=C3)[C@]2([H])[C@](CC4)([H])[C@@](CC[C@@H]5OC(CC6=CC=C(N(CCCl)CCCl)C=C6)=O)([H])[C@]5(C)CC2)=O)C=C1,carcinogenic
ClCCN(CCCl)[P]1(=O)NCCCO1,carcinogenic
CN(C)C2=CC=C(C=C2)CC1=CC=C(N(C)C)C=C1,carcinogenic
CN(C(=O)N)N=O,carcinogenic
ClCOCCl,carcinogenic
SC1=NC2=C(C=CC=C2)S1,carcinogenic
O=NN1CCCCC1,carcinogenic
O=[N+](C1=CC2=C(C=C1)NC=N2)[O-],carcinogenic
O=NN1CCC(=O)NC1=O,carcinogenic
O=NN1CCOCC1,carcinogenic
CN[N+](=O)[O-],carcinogenic
O=NN1CCCCCC1,carcinogenic
O=C4C=C2[C@@](CC4)([H])[C@]1([H])[C@](CC2)([H])[C@@](CC3)([H])[C@@](CC1)(C)[C@]3(OC(C)=O)C#C,carcinogenic
O=NN(CCCC)CCCC,carcinogenic
O=NN(CCC)CCC,carcinogenic
O=NN(CCO)CCO,carcinogenic
S=C(N1CCOCC1)SN1CCOCC1,carcinogenic
O=NN(CCN(C)C)C(=O)[NH2+]CC.[O-]N=O,carcinogenic
Cl.CCCCNN,carcinogenic
NC1=NC(C3=C(N=CC=C3)C=C2)=C2N1C.[H]Cl,carcinogenic
O=P(OCCCl)(OCCCl)OCCCl,carcinogenic
O=S(=O)(C1=CC=C(C=C1)N)C2=CC=C(C=C2)N,carcinogenic
OC(C1=CC=C(C=C1)Cl)(C2=CC=C(C=C2)Cl)C(=O)OCC,carcinogenic
ClC(Cl)Cl,carcinogenic
O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl,carcinogenic
O=C2C1=C(OC)C=C(OC)C(Cl)=C1O[C@]32C(OC)=CC(C[C@@](C)3[H])=O,carcinogenic
O=NN1CCSCC1,carcinogenic
O=NN1CCN(N=O)CC1,carcinogenic
ClC(CCl)(Cl)Cl,carcinogenic
O=P(OC=C(Cl)Cl)(OC)OC,carcinogenic
O=P(H)(OC)OC,carcinogenic
O=C1OC2=C(C=CC=C2)CC1,carcinogenic
O=C1OC2=C(C=CC=C2)C=C1,carcinogenic
O=CC1=CC=CO1,carcinogenic
OC1=C(C=CC(=C1)/C=C/C(=O)O)O,carcinogenic
O=C3C[C@@H]4CC[C@@H]1[C@H](CC[C@]2(C)[C@@](C)(O)CC[C@@H]12)[C@@]4(C)C\C3=C\O,carcinogenic
O=C1N2CC3=CC=CC=C3C(=O)N2CC4C=CC=CC1=4,carcinogenic
O=C1N(C2=CC=CC=C2)N(C3=CC=CC=C3)C(=O)C1CCCC,carcinogenic
O[C@@H]3C\C4=C\C[C@@H]2[C@H](CC[C@]1(C)C(=O)CC[C@H]12)[C@@]4(C)CC3,carcinogenic
O=C1OC(O)C(C(Cl)Cl)=C1Cl,carcinogenic
[K+].[I-],carcinogenic
O=C1NC(=S)NC=C1,carcinogenic
NC2=CC=C(C=C2N)C1=CC=C(N)C(N)=C1.Cl.Cl.Cl.Cl,carcinogenic
O=NN(C)CCCCCCCCCCCC,carcinogenic
O=NN(C)C1=NC=NC2=C1N=CN2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O,carcinogenic
O=NN(CC(C)O)CC(C)O,carcinogenic
O=NN(CC(=O)C)CC(=O)C,carcinogenic
O=NN(C1=CC=CC=C1)C2=CC=CC=C2,carcinogenic
C=C(Cl)C=C,carcinogenic
O=CC1=CC=CC=C1,carcinogenic
C1=C(CO)OC=C1,carcinogenic
C1(N=C(SC=1)NN)C2=CC=C(C=C2)N,carcinogenic
O=N[O-].[Na+],carcinogenic
O=CNNC=O,carcinogenic
[O-][N+](C2=CC=C(O2)C1=CSC=N1)=O,carcinogenic
OCC(CO)(CBr)CBr,carcinogenic
CC=NN(C)C=O,carcinogenic
O=C(OCC)C=C,carcinogenic
OCCBr,carcinogenic
ClC1=C(C(=C(C(=C1C#N)Cl)Cl)Cl)C#N,carcinogenic
OC1=C(C=CC(=C1)C)O,carcinogenic
BrC2=C(C=C(Br)C(Br)=C2)C1=C(Br)C=C(Br)C(Br)=C1,carcinogenic
OC1=C(C=C(C=C1Cl)Cl)Cl,carcinogenic
OC2=CC=C(C=C2)/C(CC)=C(CC)/C1=CC=C(O)C=C1,carcinogenic
OC1=CC=C(C=C1C(C)(C)C)OC,carcinogenic
OC1=CC(=CC2=C1C(=O)O[C@H](CCCC(=O)CCC/C=C\2)C)O,carcinogenic
O=NN(CCN1)CC1,carcinogenic
O=C1C2=C(C(=CC=C2C(=O)C3=C1C=CC=C3)C)N,carcinogenic
O(CC1(C)C)C1=O,carcinogenic
S=P(N1CC1)(N1CC1)N1CC1,carcinogenic
ClCOC,carcinogenic
S=C(NCC)NCC,carcinogenic
CC(=O)NC1=NN=C(S1)C2=CC=C(O2)[N+]([O-])=O,carcinogenic
O=C(/C=C(C(C1=CC=C(C=C1)OC)=O)/Br)[O-].[Na+],carcinogenic
OCCN(CCO)CCO,carcinogenic
P(=O)(OC)(OC)N1CCOCC1,carcinogenic
C[N+](=NC)[O-],carcinogenic
OS(=O)(=O)O.NN,carcinogenic
OC(=O)C1=C(C=CC(=C1)OC2=CC=C(C=C2Cl)C(F)(F)F)[N+](=O)[O-],carcinogenic
N(CCCCCCCCCC)(C)N=O,carcinogenic
OC(=O)C(C)(C)CCCOc1ccc(OCCCC(C)(C)C(O)=O)c(c1)c2ccccc2,carcinogenic
OC(=O)CN(CC(=O)O)CC(=O)O,carcinogenic
OC(=O)CCCCCCCCCCN,carcinogenic
NC1=CC=C(C=C1)OC2=CC=C(C=C2)N,carcinogenic
[NH3+]C2=C(C)C=C(C3=N2)C1=C(N3)C=CC=C1.O=C([O-])C,carcinogenic
Br(=O)(=O)[O-].[K+],carcinogenic
O(C1=CC=CC=C1)CC2CO2,carcinogenic
C1CO1,carcinogenic
O1C(=NN=C1C2OC(=CC=2)[N+](=O)[O-])N,carcinogenic
NNCCC.[H]Cl,carcinogenic
OC1=C(C=C(C=C1)C)/N=N/C2=CC=C(C=C2)NC(=O)C,carcinogenic
OC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl,carcinogenic
OC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl,carcinogenic
OC1=C(C=C(C=C1C(C)(C)C)C)C(C)(C)C,carcinogenic
OC1=C(C=C(C=C1)CNC(=O)CCCC/C=C/C(C)C)OC,carcinogenic
BrCCBr,carcinogenic
N=C(C2=CC=C(N(C)C)C=C2)C1=CC=C(N(C)C)C=C1.[H]Cl,carcinogenic
CCC1=CC=CC=C1,carcinogenic
C1(/N=N/C2=CC=CC=C2)=CC=CC=C1,carcinogenic
O=C(CCC(=O)O)NN(C)C,carcinogenic
COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=C=O)OC)N=C=O,carcinogenic
COC1=CC=C(C=C1)O,carcinogenic
S=C(N(CC)CC)SCC(=C)Cl,carcinogenic
ClC(C1=CC=CC=C1)(Cl)Cl,carcinogenic
O=[N+](OC(CO[N+](=O)[O-])CO[N+](=O)[O-])[O-],carcinogenic
N12C3=C(C=CC(=N3)N)N=C1C=CC=C2,carcinogenic
NC(C=C(C=C1)N)=C1OC.O=S(O)(O)=O,carcinogenic
O=C(C(C)(OC1=CC=C(C=C1)C2=CC=C(C=C2)Cl)C)OC,carcinogenic
O=[N+](C1=CC=C2C3=C1C=CC=C3CC2)[O-],carcinogenic
O=[N+](C1=CC=C(O1)/C=N/NC(=O)N)[O-],carcinogenic
N1C2=C(C3=C1C=CC=C3)C(=NC(=C2)N)C.CC(=O)O,carcinogenic
OC1=CC=C2C(=C1/N=N/C3=C(C=C(C=C3)C)[N+](=O)[O-])C=CC=C2,carcinogenic
O=NN1CCCC1,carcinogenic
O=[N+](C1=CC=C2C3=C4C(=CC=C13)C=CC=C4C=C2)[O-],carcinogenic
O=C(C1=CC=CC=C1)NN,carcinogenic
O=C(C1=CC=C(C=C1)N(C)C)C2=CC=C(C=C2)N(C)C,carcinogenic
COC1=CC(=C(C=C1)N)C,carcinogenic
O=C(C1=CC=NC=C1)NN,carcinogenic
O=C(C1=CC=CN=C1)NN,carcinogenic
[Se]=S,carcinogenic
O=C1C=C(NC(=S)N1)CCC,carcinogenic
O=C(C)NCC1=NC(=NO1)C2=CC=C(O2)[N+]([O-])=O,carcinogenic
O=C(C)NC3=CC=C(C2=C3)C1=C(C2=O)C=CC=C1,carcinogenic
[O-]\[N+](C)=N/CC,carcinogenic
O=C(C1=C(C=CC=C1)C(=O)OCC(CCCC)CC)OCC(CCCC)CC,carcinogenic
O=C(C[C@@H]([C@@](O)=O)CC(O)=O)O[C@H]([C@@H](C)CCCC)[C@@H](C[C@H](C)C[C@@H](O)CCCC[C@@H](O)C[C@H](O)[C@@H](N)C)OC(C[C@@H]([C@@](O)=O)CC(O)=O)=O,carcinogenic
N(CC(=O)[O-])(CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Na+].O,carcinogenic
N1C=CC=C(C=1)C2N(N=O)CCC2,carcinogenic
Cl\C=C\CCl,carcinogenic
O[C@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)[C@@H]1OC/N=[N+](C)\[O-],carcinogenic
C=CCNN.HCl,carcinogenic
[O-][N+](C3=CC=C(O3)C1=CN=C2N1C=CC=C2)=O,carcinogenic
N(N1CCCCC1C2=CC=CN=C2)=O,carcinogenic
NN(CCCC)CCCC,carcinogenic
NN(C=O)CCC,carcinogenic
O.O.O.O.[Co+2].O.O.O.[O-]S([O-])(=O)=O,carcinogenic
O=S1(=O)CCCO1,carcinogenic
NNC1=NC(=CS1)C2=CC=C(O2)[N+]([O-])=O,carcinogenic
O=[N+]([O-])C3=CC=C(O3)/C=N/N1C(O[C@@H](CN2CCOCC2)C1)=O.Cl,carcinogenic
O=[N+](C1=CC=CC=C1)[O-],carcinogenic
C1(CN(N=O)CC(O1)C)C,carcinogenic
Cl.CC(=O)O[C@@H](CC)C(C[C@H](C)N(C)C)(c1ccccc1)c2ccccc2,carcinogenic
O=[N+](C1=CC(=C(C=C1)OC)N)[O-],carcinogenic
OC(=O)C(Cl)Cl,carcinogenic
O=C(C4=CC(OC)=C(OC)C(OC)=C4)O[C@@H]1C[C@@]3([H])[C@@](C[C@](N5C3)([H])C2=C(CC5)C(C=C6)=C(C=C6OC)N2)([H])[C@H]([C@](OC)=O)[C@H]1OC,carcinogenic
O=C(N(CCO)N=O)NCC,carcinogenic
O[C@H]([C@H](O)CBr)[C@H](O)[C@H](O)CBr,carcinogenic
ClCC1CO1,carcinogenic
C1CN1,carcinogenic
BrC(CCl)CBr,carcinogenic
O=NN(CCN1N=O)CCC1,carcinogenic
O=S(=O)(C1=CC=C(C=C1)N)NC2=NC(=CC(=N2)C)C,carcinogenic
O=C1C(C2=CC=CC=C2)(C(=O)NC(=O)N1)CC,carcinogenic
O=C1C2=C(C(=CC=C2N)N)C(=O)C3=C(C=CC(=C13)N)N,carcinogenic
O=C1C2=C(C(=CC=C2C(=O)C3=C1C=CC=C3)C)[N+](=O)[O-],carcinogenic
O=C1C2=C(C(=CC(=C2C(=O)C3=C1C=CC=C3)Br)Br)N,carcinogenic
OC(COC(C)(C)C)C,carcinogenic
O=C(O[C@H](C)C2)C1=C2C(Cl)=CC(C(N[C@@H](CC3=CC=CC=C3)[C@@](O)=O)=O)=C1O,carcinogenic
O=C(O[C@@H]1CC[N+]2([O-])[C@@]([H])1C3=CC2)\C(C[C@@H](C)[C@](O)(CO)C(OC3)=O)=C([H])/C,carcinogenic
O=C1C(C(OCC5)=O)=C5C(C(OC)=C4)=C(C2=C4OC3C2C=CO3)O1,carcinogenic
O=C1[C@H]3[C@H](C3)[C@@]([C@]4([H])[C@@]([C@@]5([H])[C@]([C@@](CC5)(OC(C)=O)[C@@](C)=O)(C)CC4)([H])C=C2Cl)(C)C2=C1,carcinogenic
O=C(OC)C1=CCCN(C)C1.[H]Cl,carcinogenic
OC1=CC=C2C(=C1/N=N/C3=CC=CC=C3)C=CC=C2,carcinogenic
O=C1C23C4C5C6(C(=O)C7=C(O)C(C)=CC(=C7C(C6=C(C2C5O)O)=O)O)C(C4O)C(=C3C(=O)C8=C1C(O)=C(C)C=C8O)O,carcinogenic
O=C1C2=CC(=CC=C2C(=O)C3=C1C=CC=C3)N,carcinogenic
O=C1N(C=C)CCC1,carcinogenic
O=C1N(C(=O)C2C1CC=CC2)SC(Cl)(Cl)Cl,carcinogenic
O=C1N(C(=O)C2=C1C=CC=C2)SC(Cl)(Cl)Cl,carcinogenic
O=C1C2=C(C=C3C(=C2OC4=CC=CC(=C14)O)C5C(O3)OC=C5)OC,carcinogenic
O=C(N(CCCC)N=O)N,carcinogenic
O=C1C2=C(C=C(C=C2O)O)OC(=C1O)C3=CC(=C(C=C3)O)O,carcinogenic
O=C1C2=C(C=CC=C2O)C(=O)C3=CC=CC(=C13)O,carcinogenic
O=C1C2=C(C=CC=C2C(=O)C3=C1C=CC=C3)O,carcinogenic
O=C(CN=C2C3=CC=CC=C3)NC1=C2N(N=C1C)CC,carcinogenic
CCN1(C2C(=CC=CC=2)C3=C1C=CC(=C3)N).[H]Cl,carcinogenic
