SMILES,Mutagenicity
CCCCCCCCCCCCCCCCCC(=O)OCC1=CC=C2C(=CCC(C=C12)C(C)=C)C,active
OC(=O)C1=CC=C(C=C1)C=NN4N=NC2=C([NH]C3=CC=CC=C23)C4=O,active
ONC1=CC=C(C=C1)SC2=CC=CC=C2,active
CC1=CC=C[N]2C1=NC3=CC=C(NO)N=C23,active
ClC1=NC=CC=C1,active
FC2=CC1=NC=CC=C1C=C2,active
CN(C)CCNC(=O)C2=C1C(C3=C(C(C1=CC=C2)=O)C=CC=C3)=O,active
NC1=CC=C(C=C1)N,active
[O-][N+](=O)C3=CC2=C(C=C1C=CC=CC1=C2C=C3)[N+]([O-])=O,active
[O-][N+](=O)C1=CC4=C3C(=C1[N+]([O-])=O)C2=CC=CC=C2C3=CC=C4,active
[O-][N+](=O)C1=CC=C(C=C1)C=C,active
CN(CS(O)(=O)=O)C1=C(C)N(C)N(C1=O)C2=CC=CC=C2,active
N1C5C1C3=C(C2=CC=CC=C2C4=CC=CC=C34)C6=C5C=CC=C6,active
NC(=O)C(=CC1=CC=C(O1)[N+]([O-])=O)C2=CC=CO2,active
NC2=CC=C1SN=C(Cl)C1=C2,active
ClC1OC1CBr,active
OC2=C1C=CC=NC1=CC=C2,active
NC3=CC2=NC1=CC=CC(=C1N=C2C=C3)N,active
[O-][N+](=O)C1=CC(=CS1)C(=O)NC2=C(C=CC=C2)Br,active
C1=CN=C(C=C1)C2=CC=NC=C2,active
CC(C)C1CCC(C)CC1=O,active
CCOS(C)(=O)=O,active
O=NN1CCOCC1,active
[O-][N+](=O)C1=CC=C(C=C1)C=CC2=CC=C(C=C2)C#N,active
CCCC=CCC=O,active
NNC(=O)CNC(=O)C=[N+]=[N-],active
C=CCCCCC1CO1,active
CC(=O)NC1=CC(=CC=C1)N,active
CC1=C(C=CC=C1N)N,active
OC2=C3C=CC4=C1C=CC=CC1=CC5=CC=C(C=C2)C3=C45,active
CC1=CC3=C(C=C1)C2=CC=CC=C2C=C3,active
[O-][N+](=O)C1=C(C=CC(=C1)N=[N+]=[N-])F,active
COC4=CC(=O)C3=C2[NH]C1=CC=NC=C1C2=C(C)N=C3C4=O,active
CCC=CC=CC=CC=CC=COCC(O)CO,active
CNC(=O)ON(C(C)=O)C(=O)NC,active
[O-][N+](=O)C1=CC(=C(C=C1)I)[N+]([O-])=O,active
CC4=C2C=C1C=CC=CC1=CC2=C3C=CC=CC3=C4,active
C1OC1C2=CC=CC=C2,active
[O-][N+](=O)C1=CC(=CC(=C1)CCl)[N+]([O-])=O,active
CC(=O)OCC2=C1C=CC=CC1=CC3=CC=CC=C23,active
ClCC=CCl,active
COC1=CC=C(C=C1)N=O,active
NC1=C(C=CC=C1)C2=CC=CC=C2,active
CNC3CC2=C1C(=CC=CC1=CC=C2)C3,active
CC(=O)OCC1=COC=C2C(=CC=[C]12)C=O,active
OCC[N]1C(=NC=C1[N+]([O-])=O)CO,active
CCN1C=C(C(O)=O)C(=O)C3=C1C=C2OCOC2=C3,active
CC3=C2[NH]C1=CC=CC=C1C2=C(C)C4=CN=CC=C34,active
O=C2NC1(CCCCC1)C(=O)N2CCN3CC3,active
NC1=CC3=C(C=C1)C2=CC=C(C=C2C3)N,active
CCN(N)C1=CC=CC=C1,active
CC(=O)NC1=CC=C(C=C1)C=CC(=O)C2=CC=CC=C2,active
CCC[N]3C=C2CC1C(C=C(C)CN1C)C4=C2C3=CC=C4,active
C[N]1C=CN=C1N=O,active
[O-][N+](=O)C2=C1[NH]N=CC1=CC=C2,active
ClCC2=C4C1=CC=CC=C1C=C5C=CC3=CC=CC(=C2)C3=C45,active
NC1=C(C=CC=C1)SCCSC2=C(C=CC=C2)N,active
C1=CC4=C(C=C1)C3=CC2=CC=CC5=C2C(=C3C=C4)C=C5,active
[O-][N+](=O)C1=CC3=C(C=C1)C2=CC4=C(C=C2CC3)CCCC4,active
[O-][N+](=O)C2=C1N=CC=CC1=CC=C2,active
S=C1NCCN1,active
C2=CC1=CC3=C(C=C1C=C2)C5=C4C(=C3)C=CC=C4C=C5,active
NC1=CC4=C(C=C1)C3=CC=C2C=CC=CC2=C3C=C4,active
O=NC1=C2C=CC3=CC5=C(C4=CC=C(C=C1)C2=C34)CCCC5,active
CC(C)N(C(C)C)C(=O)SCC(Cl)=CCl,active
COC1=CC=C(C=C1)C2OC2C(=O)C3=CC=CC=C3,active
CC1CNCC(C)O1,active
CC(C)=C(Cl)C=O,active
[O-][N+](=O)C3=CC2=C1C=CC(=CC1=CC=C2O3)N(CCCl)CCCl,active
ClC(=O)CC1=CC=CC=C1,active
NC3=CC2=NC1=CC=CC=C1C(=C2C=C3)N,active
C1=CC5=C(C=C1)C4=CC3=C2C=CC=CC2=CC=C3N=C4C=C5,active
OC1=C4C(=CC=C1)C3=CC=C2C=CC=CC2=C3C=C4,active
C1=CC4=C(C=C1)C3=CC=C2C=CC=CC2=C3C=C4,active
[O-][N+](=O)C1=CC=C(C=C1)C=CC2=CC=C(C=C2)Cl,active
NC1=CC=C(C=C1)NC2=CC=C(C=C2)[N+]([O-])=O,active
OC1=CC=C(C=C1)C(=O)NN=CC2=CC=C(O2)[N+]([O-])=O,active
NC3=C2C(C1=CC=CC(=C1C(C2=C(C=C3)N)=O)[N+]([O-])=O)=O,active
[O-][N+](=O)C1=CC(=C(C=C1)C2=C(C=CC=C2)[N+]([O-])=O)[N+]([O-])=O,active
OC2=C3C1=CC=CC=C1C4=C(C=CC5=CC=C(C=C2)C3=C45)[N+]([O-])=O,active
CC1=CC(=C(C=C1)N=NC3=C2C=CC=CC2=CC=C3O)C,active
OC1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,active
C1=CC2=C(C=C1)C3=CC=CC4=CC=CC2=C34,active
CC2C1=C(C=CC=C1)C3=C2C=C(C=C3)F,active
OC4C=CC3=C2C=CC1=CC=CC=C1C2=CC=C3C4O,active
CCN(CC)N=O,active
OC2=C1C=CC=CC1=CC3=CC=CC=C23,active
[O-][N+](=O)C1=CC=C2C=CC3=C(C=CC4=CC=C1C2=C34)[N+]([O-])=O,active
OC2C=CC1=C3C=CC4=CC=C(C5=CC=C(C=C1C2O)C3=C45)[N+]([O-])=O,active
OCC4OC(OC2=C1C(C3=C(OC1=CC(=C2)O)C(=CC=C3O)O)=O)C(O)C(O)C4O,active
ClCCN(CCCl)P1(=O)OCCCN1CCCl,active
NC1=C(C=C(C=C1Cl)[N+]([O-])=O)[N+]([O-])=O,active
OC2C=CC1=C4C(=CC=C1C2O)C3=CC(=CC=C3C=C4)O,active
OCCN(CCO)C1=CC=C(C=C1)N=NC2=C(C=C(C=C2)[N+]([O-])=O)[N+]([O-])=O,active
NC2=NC(=C1[NH]C=NC1=N2)NO,active
CN(C)N,active
CN2N(C1=CC=CC=C1)C(=O)C(=C2C)N=O,active
ClCCNC(=O)N(CCCl)N=O,active
C1=CC2=C(C=C1)C4=C3C(=C2)C=CC=C3C=C4,active
OCC1=C2C=CC3=CC=CC4=CC=C(C=C1)C2=C34,active
CC3=CC2=C(C1=CC=CC=C1C(=C2C=C3)C)C,active
COC3=C(C=C2N=C1C=CC(=CC1=NC2=C3)N)N,active
BrCC1CO1,active
CN(C)N=O,active
[O-][N+](=O)C1=C(C=CC=C1)[N+]([O-])=O,active
CC(=O)C1=C(C(=C(O1)[N+]([O-])=O)C2=CC=CC=C2)C3=CC=CC=C3,active
OS(=O)(=O)C1=C2C=CC3=CC=CC4=CC=C(C=C1)C2=C34,active
C1OC1C2CO2,active
[O-][N+](=O)C1=CC(=C(C=C1)Br)[N+]([O-])=O,active
NC1=C(C=C(C(=C1)[N+]([O-])=O)N)Cl,active
[O-][N+](=O)C1=CC2=CC=C3C=CC=C4CCC(=C1)C2=C34,active
[O-][N+](=O)C1=C2C=CC3=C(C=CC4=CC=C(C=C1)C2=C34)N=O,active
CCN(CC)C3=CC=C2N=C1C=CC(=CC1=[O+]C2=C3)N(CC)CC,active
CCN1CCOCC1,active
OCCCBr,active
C1=CC3=C(C=C1)C2=NC=CC=C2C=C3,active
NC3=C(C=C2N=C1C=CC=CC1=NC2=C3)O,active
CN(C)C2=C(C1=NC(=C(N=C1C=C2)C)C)C,active
CC1=CC(=C(C=C1)N)N,active
NC1=C(C(=CC=C1)N)C(O)=O,active
OC(=O)C=CC1=CC=C(O1)[N+]([O-])=O,active
[O-][N+](=O)C1=C(C=CC=C1)SSC(F)=C(Cl)Cl,active
ONC1=CC3=C(C=C1)C2=CC=CC=C2C3,active
COC(=O)NC2=NC1=CC(=CC=C1[NH]2)C(=NO)C3=CC=C(C=C3)F,active
C1=CC2=CC=C3N=CC=C4C=CC(=C1)C2=C34,active
NC1=C(C=CC(=C1)[N+]([O-])=O)C(O)=O,active
CN(C)CCCNC2=C1C(=CC=C(C1=NC3=CC=CC=C23)F)[N+]([O-])=O,active
CC4=C1C=CC=CC1=C3N=C2C=CC=CC2=C(C3=C4C)N,active
NC4=CC=C3C2=C1C(=CC=CC1=CC=C2)C3=C4,active
CCC1=C3C(=CC2=CC=CC=C12)C4=C(C=C3)C(O)C(O)C5OC45,active
ON(C=O)C1=CC=C(C=C1)[N+]([O-])=O,active
CN(N=O)C(C)=O,active
BrC(C=O)=CC1=CC=CC=C1,active
C1OC1COC2=CC(=CC=C2)OCC3CO3,active
CC1=C(C=C(C=C1)N=C=O)N=C=O,active
N1C4C1C2=C(C=CC3=CC=CC=C23)C5=C4C=CC=C5,active
OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl,active
NCCNCCNCCNCCNCCN,active
CC(C)NCC2CCC1=C(C=C(C(=C1)CO)[N+]([O-])=O)N2,active
[O-][N+](=O)C1=CC(=CS1)C(=O)NC2=CC=C(C=C2)Cl,active
CC1=CC=C(C=C1)N=NNCC2=CC=CC=C2,active
CNC(=O)OC2=C1C=CC=CC1=CC=C2,active
CCOC(=O)N(C)C,active
ClC(=O)C1=C(C=C(C=C1)Cl)Cl,active
[O-][N+](=O)C2=CC(=C1C(=CC(=CC1=C2)[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,active
COS(=O)(=O)C(F)(F)F,active
CC1=CC(=C(C=C1)NO)C,active
ClC(=O)C1=C(C=CC=C1)C(Cl)=O,active
CC(=O)C=O,active
O=C1OC5=C4C3=C1C=C2C=CC=CC2=C3C=CC4=CC=C5,active
ClCC1=CC=CC=C1,active
C[N]1C(=NC2=C1C=CC3=NC(=C(C)N=C23)C)N,active
ClC(CBr)CBr,active
CC(=O)OC1=C2C=CC3=CC=CC4=CC=C(C(=C1)[N+]([O-])=O)C2=C34,active
CC1=CC=C[N]2C1=NC3=C(C)C(=CN=C23)N,active
OC1=C([NH]C2=CC=CC=C12)C4=NC3=C(C=CC=C3)C4=O,active
OCC1=C4C(=C(C2=CC=CC=C12)CO)C3=CC=CC=C3C=C4,active
NC1=CC3=C(C=C1)C2=CC=CC=C2O3,active
CC4=C3C=C2C1=CC=CC=C1C=CC2=CC3=CC=C4,active
C1CCC(CC1)N2C4C2C3=C(C=CC=C3)C5=C4C=CC=C5,active
COC1=C(C=CC=C1)N,active
ONC1=CC=C(C=C1)C2=CC=CC=C2,active
CN1CC(CBr)CC2C1CC3=C[NH]C4=CC=CC2=C34,active
CCN(CC)CCNC2=C1C(C3=C(SC1=C(C=C2)C)C=CC=C3)=O,active
OCC1=C3C=CC4=CC=CC5=CC=C(C2=CC=CC=C12)C3=C45,active
C1=CC5=C4C(=C1)C2=CC=CC3=CC=CC(=C23)C4=CC=C5,active
C[N]2C(=NC3=C1N=C(C)C=NC1=CC(=C23)C)N,active
CNN=O,active
COC(=O)C(=C)C#N,active
CN(C)C1=CC=C(C=C1)N=NC3=CC=C2N=CSC2=C3,active
COP(=S)(OC)SCN2N=NC1=C(C=CC=C1)C2=O,active
OCC1SCCN1N=O,active
[O-][N+](=O)C1=C(C(=CC=C1)[N+]([O-])=O)C=O,active
CC1=CC2=C(C=C1)C(=CC=C2)[N+]([O-])=O,active
OC1=C(C(=CC=C1)[N+]([O-])=O)[N+]([O-])=O,active
OC3=C(C2=CC1=CC=CC=C1C(=C2C=C3)O)O,active
OC1=C4C(=CC=C1)C3=CC2=CC=CC5=C2C(=C3C=C4)C=C5,active
CN2C(=O)CN=C(C1=C(C=CC=C1)F)C3=C2C=CC(=C3)[N+]([O-])=O,active
[O-][N+](=O)C1=CC2=C(C=C1)C(=O)OC2=O,active
COC(=O)C1=CC=C(C=C1)C=NN4N=NC2=C([NH]C3=CC=CC=C23)C4=O,active
ClCC2=C1C3=CC=C4C=CC=C5C=CC(=CC1=CC=C2)C3=C45,active
NC1=NC(=CC=C1)N,active
[O-][N+](=O)C1=CC=C(O1)C=CC(=O)NN=CC2=CC=C(O2)[N+]([O-])=O,active
OOC1CCCC2=C1C=CC=C2,active
[O-][N+](=O)C2=CC=C1SN=C(Cl)C1=C2,active
[O-][N+](=O)C1=CC(=CC=C1)CCl,active
CC(O)=NO,active
CN(C)CCNC(=O)C2=C1SC3=C(C(C1=CC=C2)=O)C=CC=C3,active
COC1=CC=C(C=C1)CNC(=O)C(C)Br,active
NC3=CC2=NC1=CC=C(C=C1N=C2C=C3)N,active
OCCC1=C[NH]C2=CC(=CC=C12)[N+]([O-])=O,active
CC1=C(C=CC=C1)N=NC2=CC(=C(C=C2)N)C,active
CC1=C(C3=C(C=C1)C(=O)C2=C(C=CC=C2)C3=O)N,active
[O-][N+](=O)C3=CC2=C1C(=CC=CC1=CC=C2C=C3)[N+]([O-])=O,active
C2=CC1=NC=CN=C1C=C2,active
[O-][N+](=O)C1=CC=C(C=C1)CCl,active
OC(=O)C1=CC=C(C=C1)NC3=C2C=CC(=CC2=NC4=CC=CC=C34)N=[N+]=[N-],active
COC1=C4C(=CC=C1)C3=C2OCOC2=CC(=C3C=C4)C(O)=O,active
CC2=[N+](C1=CC=CC=C1[N+](=C2C(=O)NCCO)[O-])[O-],active
CC(C)(C)C1=CC(=O)C=CC1=O,active
CN(C)CCCNC2=C1C=C(C=CC1=NC3=CC=CC=C23)[N+]([O-])=O,active
O=NC2=C3C=CC4=C1C=CC=CC1=CC5=CC=C(C=C2)C3=C45,active
CC1(CO1)C2=CC=CC=C2,active
NC2=C1SN=C(C1=CC=C2)Cl,active
CC2C1=C(C=CC=C1)C3=C2C=C(C(=C3)C)C,active
CC(O)C1=CC2=CC=C3C=CC=C4C=CC(=C1)C2=C34,active
[O-][N+](=O)C1=CC(=CS1)C(=O)NC2=CC=C(C=C2)[N+]([O-])=O,active
C1=CC2=C(C=C1)C4=CC=C5C=CC6=CC3=CC=CC2=C3C4=C56,active
[O-][N+](=O)C2=CC3=CC=C4C1=CC=CC=C1C=C5C=CC(=C2)C3=C45,active
CC1=C(C=CC(=C1)[N+]([O-])=O)N,active
OC1=CC=C(C=C1)N=O,active
NC2=CC=C1SN=CC1=C2,active
[N-]=[N+]=C1C=CC(=O)C=C1,active
O=C2CC(=NC1=CC=CC=C1)C(=O)C3=C2C=CC=C3,active
[O-][N+](=O)C2=CC1=CC(=CC=C1O2)N(CCCl)CCCl,active
OC(=O)C(Br)=C(Br)C=O,active
COC1=C4C(=CC=C1)C3=C2OCOC2=CC5=C3C(=C4)NC5=O,active
CN(C)N=NC1=CC=C(C=C1)[N+]([O-])=O,active
C1=CC2=C(C=C1)C5=C(C=C2)C4=C3C=CC=CC3=CC=C4C=C5,active
COC1=C(C3=C(C(=C1)N)C(=O)C2=C(C=CC=C2)C3=O)N,active
NC1=CC=C(C=C1)OC2=CC(=C(C=C2)N)N,active
CC(=O)N1CCCC1C(=O)N(CC(O)=O)N=O,active
COC1=C(C=CC(=C1)CC2CO2)O,active
CN(C)CCCNC2=C1C=CC=CC1=NC3=CC=CC=C23,active
CCC1=C(C3=C(C=C1)C(=O)C2=C(C=CC=C2)C3=O)[N+]([O-])=O,active
OC5C(O)C2=C1C6(C4=C(C1=CC=C2)C3=C(C=CC=C3)C=C4)OC56,active
NC(CSC(Cl)=C(Cl)C(Cl)(Cl)Cl)C(O)=O,active
C[N]2C1=CC=CC=C1C3=CC(=CC=C23)N,active
NC1=CC=C(C=C1)OC2=C(C=C(C=C2)Cl)Cl,active
C1=CC3=C(C=C1)C2=CC5=C(C=C2C=C3)C4=CC=CC=C4C=C5,active
OC1C=CC=CC1O,active
CCNN=O,active
S3C1=CC=CC=C1C4=CC=C2C=CC=CC2=C34,active
CC(=O)OCC1=CC=C(C=C1)N=NC2=CC=C(C=C2)COC(C)=O,active
CCC4(O)CC(O)C2=C(C=C1C(C3=C(C(C1=C2O)=O)C(=CC=C3)O)=O)C4C(=O)OC,active
OC5C=CC1=C(C2=CC=C3C=CC(=C4C=CC(=C1)C2=C34)[N+]([O-])=O)C5O,active
O[N+]([O-])=C=CC1=CC=C(O1)[N+]([O-])=O,active
NC(CS)C(O)=O,active
CCC3=C1C4=C(C=CC1=C2C=CC=CC2=C3)C(O)C(O)C5OC45,active
O=C3[N]2C1=CC=CC=C1N=C2C8=C6C3=CC=C7C5=NC4=CC=CC=C4[N]5C(C(=C67)C=C8)=O,active
OCCCCl,active
CCOC1=CC=C(C=C1)NC(=O)CC(C)O,active
CC1=C(C(=C(C=C1[N+]([O-])=O)[N+]([O-])=O)N)[N+]([O-])=O,active
ClCC1CO1,active
CC(C)=CC2C(C(=O)OC1=C(C)C(CC=C)C(=O)C1)C2(C)C,active
O=NC1=CC=C(C=C1)OC2=CC=CC=C2,active
[O-][N+](=O)C2=C4C=CC=C5C1=CC=CC=C1C3=CC=CC(=C2)C3=C45,active
CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl,active
COC(=O)NC1=CC(=CC=C1)OC(=O)NC2=CC(=CC=C2)C,active
FC5=C3C=CC=C4C2=C1C=CC=CC1=CC=C2C(=C34)C=C5,active
ClC(=O)OCC2C1=C(C=CC=C1)C3=C2C=CC=C3,active
COC4=CC(=O)C1=C(C3=C(C(=N1)C)C2=CC=CC=C2[NH]3)C4=O,active
CC1=CC(=C(C=C1)N)O,active
CCOP(=S)(OCC)OC1=N[N](C(C)C)C(=N1)Cl,active
[O-][N+](=O)C1=CC5=C2C(=C1)CCC4=C2C(=C3CCCCC3=C4)CC5,active
S=P(N1CC1)(N2CC2)N3CC3,active
C1=CC4=C(C=C1)C3=CC=C2C=NC=CC2=C3C=C4,active
CN(C)CCNC(=O)C2=C1NC3=C(OC1=CC=C2)C=CC=C3,active
CC1=CC=C(C=C1)CCC2CO2,active
