SMILES,"Blood-Brain-Barrier Penetration"
C1([C@@](CC(=O)N1)(CC)C)=O,penetrating
c12[C@H]([C@@H]3[C@H](COC3=O)[C@@H](c1cc1OCOc1c2)O[C@@H]1O[C@H]2[C@@H](O[C@H](C)OC2)[C@@H]([C@H]1O)O)c1cc(c(O)c(c1)OC)OC,nonpenetrating
c1(nc(CSCC\C(=[NH]\S(N)(=O)=O)N)cs1)\[NH]=C(\N)N,penetrating
c1(C(Cn2cncn2)(Cn2cncn2)O)c(cc(F)cc1)F,penetrating
P(C(=O)O)(=O)(O)O,penetrating
C1(CC(O)=O)(CCCCC1)CN,penetrating
N12[C@@H]([C@@H](NC(c3c4c(ccc3OCC)cccc4)=O)[C-]2=O)SC([C@@H]1C(=O)O)(C)C,nonpenetrating
c12c(c(c(C(O)=O)cn1CC)=O)ccc(n2)C,nonpenetrating
C1[C@@H]2CCCC[C@@H]2C[N@](C[C@H]([C@@H](NC(c2c(c(ccc2)O)C)=O)CSc2ccccc2)O)[C@@H]1C(NC(C)(C)C)=O,nonpenetrating
N1(c2c(Sc3c1cccc3)ccc(c2)SC)CC[C@H]1NCCCC1,nonpenetrating
c12c([nH]c(n1)[S@@](Cc1c(c(c(C)cn1)OC)C)=O)ccc(c2)OC,nonpenetrating
N12[C@@H]([C@@H](NC(c3c(c4ccccc4)noc3C)=O)[C-]2=O)SC([C@@H]1C(=O)O)(C)C,nonpenetrating
c1(ccc(O)cc1)NC(C)=O,penetrating
c12[C@]3([C@H]([C@H]([N@@](C\C=C(\C)C)CC3)Cc1ccc(c2)O)C)C,penetrating
n1(c2c([C@@H](CNC=N2)O)nc1)[C@@H]1O[C@H](CO)C(C1)O,penetrating
C1(c2ccccc2)(C(OCC)=O)CCN(C)CC1,penetrating
c1(c(nc(N)cc1)N)\N=N\c1ccccc1,nonpenetrating
C1(c2ccccc2)(C(NC(=O)NC1=O)=O)CC,penetrating
N12[C@@H]([C@@H](NC(COc3ccccc3)=O)[C-]2=O)SC([C@@H]1C(=O)O)(C)C,nonpenetrating
c12c([nH]cc2)cccc1OC[C@@H](CNC(C)C)O,penetrating
c12c(C[C@@H]([C@@H](C([C@H]([C@@H](C)O)O)=O)OC)[C@@H](C1=O)OC1C[C@@H](O[C@H]3C[C@@H](O[C@H]4C[C@]([C@H](O)[C@H](O4)C)(C)O)[C@H](O)[C@H](O3)C)[C@H](O)[C@H](O1)C)cc1cc(O[C@H]3C[C@@H](O[C@H]4C[C@H]([C@H](O)[C@H](O4)C)O)[C@@H](O)[C@H](O3)C)c(c(c1c2O)O)C,penetrating
C=12[C@@H]([C@H]([C@H](C=C2)C)CC[C@H](C[C@H](CC(=O)O)O)O)[C@H](C[C@@H](O)C1)OC([C@H](CC)C)=O,nonpenetrating
c12[C@@H]3N(C(CN(C3)C(C3CCCCC3)=O)=O)CCc1cccc2,penetrating
c1(S(N(CCC)CCC)(=O)=O)ccc(C(O)=O)cc1,nonpenetrating
c1(Cc2c(nc(N)nc2)N)cc(c(OC)c(c1)OC)OC,penetrating
c12c(ccc(CNc3cc(c(OC)c(c3)OC)OC)c1C)nc(N)nc2N,nonpenetrating
C(CO)(CO)(CO)N,nonpenetrating
c12n(c3c(cc(F)cc3)F)cc(C(O)=O)c(c1cc(F)c(n2)N1C[C@@H]2C(N)[C@H]2C1)=O,penetrating
C(N)(N)=O,penetrating
C=1(C2CCC(c3ccc(Cl)cc3)CC2)C(c2c(cccc2)C(C1O)=O)=O,nonpenetrating
C1(C[C@@H]2N(C)[C@H](C1)CC2)OC([C@H](c1ccccc1)CO)=O,penetrating
C(CCCCCCCC(O)=O)(O)=O,nonpenetrating
O([C@H]1[C@@H]([C@@H](O[C@@H]2C[C@]([C@@H](O)[C@@H](O2)C)(OC)C)[C@@H](C(O[C@@H]([C@](C)(O)C([C@H]([N@@](C[C@@H](C[C@@]1(C)O)C)C)C)O)CC)=O)C)C)[C@H]1[C@@H]([C@H](C[C@H](O1)C)N(C)C)O,nonpenetrating
C([C@@H]1C(N[C@@H](Cc2c[nH]cn2)C(N[C@@H](C(N[C@H](C(=O)N[C@H](C(N[C@@H](C(N[C@H](C(N1)=O)[C@H](CC)C)=O)CCCN)=O)CCCCNC([C@@H](NC([C@H](NC([C@@H](NC([C@H]1N=C([C@@H]([C@@H](CC)C)N)SC1)=O)CC(C)C)=O)CCC(O)=O)=O)[C@H](CC)C)=O)CC(N)=O)=O)CC(O)=O)=O)=O)c1ccccc1,nonpenetrating
C([N+](C)(C)C)[C@@H](OC(N)=O)C,nonpenetrating
c1(c(cccc1)Br)C[N+](CC)(C)C,nonpenetrating
N12[C@](C3N(CCC3)C([C@@H]2CC(C)C)=O)(O[C@](C1=O)(NC([C@@H]1C=C2c3c4c(c(Br)[nH]c4ccc3)C[C@H]2[N@@](C1)C)=O)C(C)C)O,nonpenetrating
c12[C@]34[C@@]56[C@H]([N@@](CC7CC7)CC4)Cc2ccc(c1O[C@H]3[C@](OC)([C@H](C5)[C@](C(C)(C)C)(C)O)CC6)O,penetrating
c1(C([C@@H](NC(C)(C)C)C)=O)cc(ccc1)Cl,penetrating
O(S(C)(=O)=O)CCCCOS(C)(=O)=O,penetrating
N12[C@@H]([C@@H](NC([C@H](c3ccccc3)C(=O)O)=O)[C-]2=O)SC([C@@H]1C(=O)O)(C)C,penetrating
N(C(NCCCl)=O)(CCCl)N=O,penetrating
N12[C@H]([C@@H](NC([C@H](C=3CC=CCC3)N)=O)C1=O)SCC(=C2C(O)=O)C,nonpenetrating
C1([C@H]([C@H](NC(C(Cl)Cl)=O)CO)O)CCC([N+](=O)=[O-])C[CH+]1,penetrating
c12c(nccc1N[C@@H](CCCN(CC)CC)C)cc(Cl)cc2,penetrating
c12c(cc(Cl)c(c1)S(N)(=O)=O)N=CNS2(=O)=O,nonpenetrating
c1(c(cc(N)c(c1)Cl)OC)C(N[C@@H]1[C@H](C[N@@](CCCOc2ccc(F)cc2)CC1)OC)=O,penetrating
n1(c2c(c(nc(n2)Cl)N)nc1)[C@@H]1O[C@H](CO)C(C1)O,penetrating
C(c1ccccc1)([C+]1CCCCC1)(C(O[C@@H]1C2CC[N+](C1)(C)CC2)=O)O,nonpenetrating
n1(c2c(nc3c1cccc3)cc(Nc1ccc(Cl)cc1)c(\c2)=N/C(C)C)c1ccc(Cl)cc1,nonpenetrating
N1(c2c(CCc3c1cccc3)ccc(c2)Cl)CCCN(C)C,penetrating
c12c3c([C@@H](NC(C)=O)CCc2cc(c(c1OC)OC)OC)cc(=O)c(cc3)OC,nonpenetrating
c12c(oc(C(=O)O)cc2=O)cccc1[O-]CC(COc1c2c(oc(C(=O)O)cc2=O)ccc1)O,nonpenetrating
C1([C@@H](CON1)N)=O,penetrating
[c-]12c(nc[n+]1COC(CO)CO)c(=[O-])[nH]c(n2)N,penetrating
c12c(cc(Cl)c(c1)S(N)(=O)=O)NCNS2(=O)=O,nonpenetrating
C(NO)(N)=O,penetrating
[N+]1([C@H]2CC(OC([C@H](c3ccccc3)CO)=O)C[C@@H]1CC2)(C(C)C)C,nonpenetrating
c1(C(NN)=O)ccncc1,penetrating
c1([C@]2(O[C@H](COc3ccc(N4CCN(c5ccc(n6c(n([C@@H](CC)C)nc6)=O)cc5)CC4)cc3)CO2)Cn2cncn2)c(cc(Cl)cc1)Cl,nonpenetrating
C1([C@@H](O[C@H]2O[C@@H]([C@@H](O)[C@@H]([C@H]2O)N)CO)[C@@H](C[C@@H]([C@H]1O[C@H]1O[C@@H]([C@@H](O)[C@@H]([C@H]1O)O)CN)N)N)O,nonpenetrating
c1([C@@]2(O[C@@H](COc3ccc(N4CCN(C(C)=O)CC4)cc3)CO2)Cn2ccnc2)c(cc(Cl)cc1)Cl,nonpenetrating
c1(cc(ccc1)[C@@H](C(O)=O)C)C(c1ccccc1)=O,penetrating
n12c([C@H](C(O)=O)CC2)ccc1C(c1ccccc1)=O,nonpenetrating
c12c3c(N4CCN(C)CC4)c(F)cc1c(c(C(O)=O)cn2[C@@H](C)CO3)=O,penetrating
O[C@@H]([C@@H]([C@@H](CO)O)O)[C@@H](CO)O,nonpenetrating
[C+](c1ccccc1)(c1ccccc1)(C(O[C@@H]1C[N+](CCC1)(C)C)=O)O,nonpenetrating
c1(cc(ccc1)O)[C@H]([C@H](C)N)O,nonpenetrating
c12c(ncc(n1)CN(c1ccc(C(N[C@@H](CCC(O)=O)C(O)=O)=O)cc1)C)nc(N)nc2N,nonpenetrating
c1(ccc(CCOC)cc1)OC[C@@H](CNC(C)C)O,penetrating
n1(c(cnc1C)[N+](=O)=[O-])CCO,penetrating
C1=2[C@H]([C@H]3[C@]([C@@](C#CC)(O)CC3)(C)C[C@@H]1c1ccc(N(C)C)cc1)CCC=1C2CCC(C1)=O,nonpenetrating
C1[C@@H]2[C@](C(=C3C(c4c(ccc(c4C[C@@H]13)N(C)C)O)=O)O)(C(C(C(N)=O)=C([C@H]2N(C)C)O)=O)O,penetrating
c1(C(NCCN2CCOCC2)=O)ccc(Cl)cc1,penetrating
C1(c2c(Oc3c1cccc3)cccc2)C(OCC[N+](C(C)C)(C(C)C)C)=O,nonpenetrating
c1(cnccn1)C(N)=O,penetrating
c1(OC(N(C)C)=O)c[n+](ccc1)C,penetrating
c1(c2ccc(Cl)cc2)c(nc(N)nc1N)CC,penetrating
c12c([C@H]([C@H]3[N@@]4C[C@H](C=C)[C@H](C3)CC4)O)ccnc1ccc(c2)OC,nonpenetrating
n1([C@@H]2O[C@H](CO)[C@H]([C@H]2O)O)nc(C(N)=O)cn1,penetrating
C([C@@H](C[C@@H]([C@H](Cc1ccccc1)NC(OCc1cncs1)=O)O)NC([C@@H](NC(N(Cc1nc(C(C)C)sc1)C)=O)C(C)C)=O)c1ccccc1,nonpenetrating
C1[N@]([C@@H](C[C@@H]2CCCC[C@H]12)C(NC(C)(C)C)=O)C[C@H]([C@H](Cc1ccccc1)NC([C@@H](NC(c1nc2c(cccc2)cc1)=O)CC(N)=O)=O)O,nonpenetrating
C(C(F)(F)F)(C(F)(F)F)OCF,penetrating
C1(C(C(C(I)[C-](C1I)NC(C)=O)C(=O)O)I)NC(C)=O,nonpenetrating
c1([C@@H](CNC(C)C)O)ccc(NS(C)(=O)=O)cc1,penetrating
n1([C@@H]2O[C@H](CO)C=C2)c([nH]c(=O)c(c1)C)=O,penetrating
O([C@@H]1[C@]([C@H](C)O[C@H]1O[C@H]1[C@@H]([C@H]([C@H](NC(N)=[NH2])[C@H]([C@@H]1O)O)O)NC(N)=[NH2])(C=O)O)[C@H]1[C@H]([C@@H]([C@@H](O)[C@@H](O1)CO)O)NC,nonpenetrating
c1(S(Nc2ncccn2)(=O)=O)ccc(N)cc1,penetrating
c1(S(Nc2c(c(C)no2)C)(=O)=O)ccc(N)cc1,penetrating
c1(S(Nc2cc(C)on2)(=O)=O)ccc(N)cc1,penetrating
c12c(c(c3CCCCc3n1)N)cccc2,penetrating
C(=C(/c1ccccc1)CC)(\c1ccc(OCCN(C)C)cc1)c1ccccc1,penetrating
c12C(c3ccccc3)=N[C@@H](O)C(N(c1ccc(c2)Cl)C)=O,penetrating
