STRUCTURE_SMILES,ActivityOutcome_CPDBAS_Rat
[O-]C(C)=O.[O-]C(C)=O.[Pb+2].[OH-].[OH-].[Pb+2].[OH-].[OH-].[Pb+2],carcinogenic
COC2=CC=C(C=C2)CN(CCN(C)C)C1=NC=CC=C1.OC(\C=C/C(O)=O)=O,carcinogenic
O=C1OC(O)C(C(Cl)Cl)=C1Cl,carcinogenic
COC1=CC=C(C=C1)O,carcinogenic
N(CC(CO)O)(CC(O)C)N=O,carcinogenic
N(CC(CO)O)(C)N=O,carcinogenic
N(CC(C)O)(CCO)N=O,carcinogenic
N(CC=C)(CCO)N=O,carcinogenic
O=C(C1=CC=CN=C1)CCCN(N=O)C,carcinogenic
N(CC(CO)O)(CC=C)N=O,carcinogenic
N(C1C=CC(=CC=1)N=O)C2=CC=CC=C2,carcinogenic
N(C(=O)NCC(C)O)(N=O)C(C)Cl,carcinogenic
O=C(NC2=C1C=C(C3=NNC(CC3)=O)C=C2)C1(C)C,carcinogenic
N(CC(C)O)(CC=C)N=O,carcinogenic
O=C(N(CCF)N=O)N,carcinogenic
N(CC(=O)[O-])(CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Na+].O,carcinogenic
NC1=NC(C3=C(N=CC=C3)C=C2)=C2N1C,carcinogenic
NC1=NC(C2=CC=C([N+]([O-])=O)O2)=CS1,carcinogenic
C(CCC)(CCC)C(=O)[O-].C(CCC)(CCC)C(=O)[O-].[Ca+2],carcinogenic
NC2=CC=C(C=C2N)C1=CC=C(N)C(N)=C1.Cl.Cl.Cl.Cl,carcinogenic
NC1=NN=C(C2=CC=C([N+]([O-])=O)O2)S1,carcinogenic
NC1=NC(C3=C(N=CC=C3)C=C2)=C2N1C.[H]Cl,carcinogenic
O=C(N(CCCCC)N=O)N,carcinogenic
NC1=CC=C(C2=CC=C(N)C=C2)C=C1,carcinogenic
NC1=CC=C(C2=CC=C(N)C(OC)=C2)C=C1OC.Cl.Cl,carcinogenic
NC1=NC(=NC(=N1)N)N,carcinogenic
NC1=NC(=NC(=N1)C2=CC=C(O2)[N+]([O-])=O)N,carcinogenic
NC1=CC=CC=C1[H]Cl,carcinogenic
NC1=C5C(C=C(S(=O)([O-])=O)C(/N=N/C6=CC=CC=C6)=C5O)=CC(S(=O)([O-])=O)=C1/N=N/C2=CC=C(C3=CC=C(/N=N/C4=C(N)C=C(N)C=C4)C=C3)C=C2.[Na+].[Na+],carcinogenic
O(C)c1cc(CC=C)ccc1OC,carcinogenic
C1CCC[C@H](N1N=O)C,carcinogenic
N(CC(CO)O)(CC(C)=O)N=O,carcinogenic
OC1=C(C=CC(=C1)/C=C/C(=O)O)O,carcinogenic
CC(CC)[N+]([O-])=O,carcinogenic
CC(=O)N(O)C1=CC2=C(C=C1)C3=CC=CC=C3C2,carcinogenic
COC1=C(C=CC=C1)[N+](=O)[O-],carcinogenic
NCC(O)=O,carcinogenic
O.O.O.O.[Co+2].O.O.O.[O-]S([O-])(=O)=O,carcinogenic
C=CC1=CC=CC=C1,carcinogenic
NNC1=NC(=CS1)C2=CC=C(O2)[N+]([O-])=O,carcinogenic
NC1=CC=C(C=C1)OC2=CC=C(C=C2)N,carcinogenic
NC(C=C(C=C1)N)=C1OC.O=S(O)(O)=O,carcinogenic
OC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl,carcinogenic
NC(=S)N,carcinogenic
BrC2=C(C=C(Br)C(Br)=C2)C1=C(Br)C=C(Br)C(Br)=C1,carcinogenic
NC1(=C(C=CC(=C1)N)C).[H]Cl.[H]Cl,carcinogenic
O=NN(CCO)CCO,carcinogenic
O=C(O[C@H](C)C2)C1=C2C(Cl)=CC(C(N[C@@H](CC3=CC=CC=C3)[C@@](O)=O)=O)=C1O,carcinogenic
CC(O)CN(C)N=O,carcinogenic
O=S(C1=C3C(C=CC=C3)=C(O)C(/N=N/C2=CC(S(=O)([O-])=O)=C(C)C=C2C)=C1)([O-])=O.[Na+].[Na+],carcinogenic
NC(=O)OC,carcinogenic
NC(=O)N(CC=C)N=O,carcinogenic
NC(=O)N(CC)N=O,carcinogenic
[O-][N+](C=C2)=CC=C2/N=N/C1=CC=C(N(CC)CC)C=C1,carcinogenic
C1=CC=CC(=C1)CCN(C)N=O,carcinogenic
NC1=CC(=CC=C1OC)C,carcinogenic
C1(N=C(SC=1)NN)C2=CC=C(C=C2)N,carcinogenic
BrC(CCl)CBr,carcinogenic
NC1=CC=C(/N=N/C2=CC=CC=C2)C(N)=N1.Cl,carcinogenic
NC1=C(C=CC(=C1)Cl)N,carcinogenic
NC1=C(C=C2C3=C(C=CC=C3)OC2=C1)OC,carcinogenic
CC1=CC(=C(C=C1C)N)C,carcinogenic
NC1=C2C(=CC=C1)C(=CC=C2)N,carcinogenic
C1=CC=CC=C1C(O)C(N(C)N=O)C,carcinogenic
NC1=C(C=CC(=C1)N)Cl,carcinogenic
NC1=CC2=C(C=CC=C2)C=C1,carcinogenic
N1(=C2C(=CC(=C1)C3=CC=CC=C3)N(C(=N2)N)C).[H]Cl,carcinogenic
CC1=CC=CC(C)=C1,carcinogenic
CN(CC(C)=O)N=O,carcinogenic
ClC(Cl)C(F)(F)F,carcinogenic
BrCCBr,carcinogenic
C1(=C(C=CC(=C1)N(CCO)CCO)NC)[N+]([O-])=O,carcinogenic
C[As](=O)(C)O,carcinogenic
Cl\C=C\CCl,carcinogenic
Cl\C(Cl)=C(Cl)/C(Cl)=C(Cl)\Cl,carcinogenic
C(O)(=O)[O-].[K+],carcinogenic
ClC(=CCl)Cl,carcinogenic
ClC(=C(Cl)Cl)Cl,carcinogenic
[O-][N+](C2=CC=C(O2)C1=CSC(NN(C)C)=N1)=O,carcinogenic
ClC1=C(C(=C(C(=C1OC)Cl)Cl)Cl)Cl,carcinogenic
ClC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl,carcinogenic
O=P(H)(OC)OC,carcinogenic
ClC1=C(C=CC(=C1)CC2=CC(=C(C=C2)N)Cl)N,carcinogenic
ClC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)Cl)N,carcinogenic
ClC#CCl,carcinogenic
NC1=CC=C2C3=C(C=CC=C3)OC2=C1,carcinogenic
ClC(Cl)Cl,carcinogenic
P(=O)(OC)(OC)N1CCOCC1,carcinogenic
ClC1=C(C(=C(C(=C1C#N)Cl)Cl)Cl)C#N,carcinogenic
C=CBr,carcinogenic
NC1=CC(S(=O)([O-])=O)=CC2=C1C(O[Cu]OC4=C(C=CC(C5=CC(O[Cu]OC7=C(C(S(=O)([O-])=O)=CC8=C7C(N)=CC(S(=O)([O-])=O)=C8)\N=N6)=C/6C=C5)=C4)\N=N3)=C/3C(S(=O)([O-])=O)=C2.[Na+].[Na+].[Na+].[Na+],carcinogenic
C\C(C)=C/Cl,carcinogenic
N(C(=O)N)(N=O)CC(=O)O,carcinogenic
CC(=O)N,carcinogenic
CCC1CO1,carcinogenic
CCC1=CC=CC=C1,carcinogenic
O=C(C1=CC=C(C=C1)N(C)C)C2=CC=C(C=C2)N(C)C,carcinogenic
CC1=NC=CN1,carcinogenic
ClC(Cl)(Cl)Cl,carcinogenic
CC1=CC=CC=C1,carcinogenic
CC1SC(SC(N1N=O)C)C,carcinogenic
CC1CO1,carcinogenic
CC1CC(=O)O1,carcinogenic
CCO,carcinogenic
CCN1(C2C(=CC=CC=2)C3=C1C=CC(=C3)N).[H]Cl,carcinogenic
CCN(CC)N=O,carcinogenic
Cl[C@@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,carcinogenic
O=S(=O)([O-])[O-].[Cd+2],carcinogenic
Cl.Cl.Cl.Cc1ccc(cn1)C\C2=C\N/C(=N\C2=O)NCCSCc3ccc(CN(C)C)o3,carcinogenic
C=C(Cl)C=C,carcinogenic
CCCC1=CC2=C(C=C1COCCOCCOCCCC)OCO2,carcinogenic
CCCC1=CC2=C(C=C1)OCO2,carcinogenic
CCN1(C2C(=CC=CC=2)C3=C1C=CC(=C3)N),carcinogenic
C1(CCN(C1)N=O)O,carcinogenic
CCCCOP(=O)(OCCCC)OCCCC,carcinogenic
O=S(=O)(C1=CC=C(C=C1)N)C2=CC=C(C=C2)N,carcinogenic
CN(C)C2=CC=C(C=C2)CC1=CC=C(N(C)C)C=C1,carcinogenic
CN(C)/N=N/C1=CC=CC=C1,carcinogenic
CN(C1=CC=C(C=C1)/N=N/C2=CC=CC=C2)C,carcinogenic
CN(C1=CC=C(C=C1)/N=N/C2=CC(=CC=C2)C)C,carcinogenic
CN(C)P(=O)(N(C)C)N(C)C,carcinogenic
N(CCCCCCCCCCCCCC)(C)N=O,carcinogenic
ClCCN(CCCl)[P]1(=O)NCCCO1,carcinogenic
C12=C3C(C4=C(C(O3)=O)C(=O)CC4)=C(C=C1OC5C2C=CO5)OC,carcinogenic
CN(C(=O)N)N=O,carcinogenic
ClCOC,carcinogenic
ClCCN[P]1(=O)OCCCN1CCCl,carcinogenic
CN1C2=C(C3=NC(=CN=C3C=C2)C)N=C1N,carcinogenic
CN1C2=C(C(OC)=CC3=C2C=CC(O3)(C)C)C(C4=C1C=CC=C4)=O,carcinogenic
O=NN(CCN1N=O)CCC1,carcinogenic
N1C2=C(N3C=1/C(=C\C=C/3)C)N=C(C=C2)N,carcinogenic
O=[N+](C1=CC=C2C3=C1C=CC=C3CC2)[O-],carcinogenic
CN1N(C2=CC=CC=C2)C(=O)C=C1C,carcinogenic
ClC(C(Cl)(Cl)Cl)(Cl)Cl,carcinogenic
O=S(C1=C(/N=N/C2=CC=C(C3=CC=C(\N=N/C4=C(S(=O)([O-])=O)C=C5C(C(N)=CC(S(=O)([O-])=O)=C5)=C4O)C=C3)C=C2)C(O)=C(C(N)=CC(S(=O)([O-])=O)=C6)C6=C1)([O-])=O.[Na+].[Na+].[Na+].[Na+],carcinogenic
CN(C1=CC=CC=C1)C,carcinogenic
CN(N=O)C,carcinogenic
CN(CCO)N=O,carcinogenic
CN(CC)N=O,carcinogenic
CN(N=O)C(=O)NCCC[C@H](N)C(O)=O,carcinogenic
ClC1=NC(=NC(=N1)NC(C)C)NCC,carcinogenic
ClC1=CC2=C(C=C1Cl)OC3=C(C=C(C(=C3)Cl)Cl)O2,carcinogenic
ClC1=CC=CC=C1,carcinogenic
ClC13C5(Cl)C2(Cl)C4C(Cl)(C(Cl)(Cl)C12Cl)C3(Cl)C4(Cl)C5(Cl)Cl,carcinogenic
ClC1=NC(SCC(NCCO)=O)=NC(NC2=CC=CC(C)=C2C)=C1,carcinogenic
CN(N=O)C1=CC=C(C=C1)C=CC2=C3C=CC=CC3=NC=C2,carcinogenic
CC(=C)C=C,carcinogenic
ClC1=C(Cl)C(Cl)=CC2=C1OC3=C(C=C(Cl)C(Cl)=C3Cl)O2,carcinogenic
O=C1C2=C(C=C3C(=C2OC4=CC=CC(=C14)O)C5C(O3)OC=C5)OC,carcinogenic
ClC1=CC=CC(C2=CC(Cl)=CC=C2)=C1,carcinogenic
CC(C)(C)O,carcinogenic
ClC1=CC(C2=CC(Cl)=CC(Cl)=C2)=CC=C1,carcinogenic
ClCC(Cl)CCl,carcinogenic
O=C(C[C@@H]([C@@](O)=O)CC(O)=O)O[C@H]([C@@H](C)CCCC)[C@@H](C[C@H](C)C[C@@H](O)CCCC[C@@H](O)C[C@H](O)[C@@H](N)C)OC(C[C@@H]([C@@](O)=O)CC(O)=O)=O,carcinogenic
ClC54C(=O)C1(Cl)C2(Cl)C5(Cl)C3(Cl)C4(Cl)C1(Cl)C2(Cl)C3(Cl)Cl,carcinogenic
ClCCl,carcinogenic
ClCC1CO1,carcinogenic
N1C=NN(C=1)CC(CN2N=CN=C2)(C3=C(C=C(C=C3)F)F)O,carcinogenic
ClC2=C(C=CC(Cl)=C2Cl)C1=C(Cl)C(Cl)=CC=C1,carcinogenic
ClC2=C(C=CC(Cl)=C2Cl)C1=C(Cl)C(Cl)=C(Cl)C=C1,carcinogenic
Clc1nc(NCC)nc(NC(C)(C)C#N)n1,carcinogenic
ClC53C1(Cl)C4(Cl)C2(Cl)C1(Cl)C(Cl)(Cl)C5(Cl)C2(Cl)C3(Cl)C4(Cl)Cl,carcinogenic
N1(CC(N(C(C1)C)C(C2C=CC=CC=2)=O)C)N=O,carcinogenic
ClC2=C(C=CC=C2Cl)C1=C(Cl)C=C(Cl)C=C1,carcinogenic
SC1=NC2=C(C=CC=C2)S1,carcinogenic
CN(C)CNc2nnc(/C=C/c1ccc(o1)[N+]([O-])=O)o2,carcinogenic
O=S(=O)(C1=CC=C(C=C1)/C(=C2\C=C/C(=[N+](/CC3=CC(=CC=C3)S(=O)(=O)[O-])CC)C=C2)C4=CC=C(C=C4)N(CC5=CC(=CC=C5)S(=O)(=O)[O-])CC)[O-].[Na+].[Na+],carcinogenic
O=P(OCCCl)(OCCCl)OCCCl,carcinogenic
O=S(C1=NC2=C(C=CC(=C2)OC)N1)CC3=C(C(=C(C=N3)C)OC)C,carcinogenic
O=[N+](C1=CC(=C(C=C1)N)O)[O-],carcinogenic
CN(C1=CC=CC=C1)N=O,carcinogenic
C1=COC=C1,carcinogenic
O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl,carcinogenic
O=P(N1C(C1)C)(N1C(C1)C)N1C(C1)C,carcinogenic
C1(=CC(=CC(=C1N)C)C)C.[H]Cl,carcinogenic
O=P(OCC(CBr)Br)([O-])OCC(CBr)Br.O=P(OCC(CBr)Br)([O-])OCC(CBr)Br.[Mg+2],carcinogenic
O=P(OC=C(Cl)Cl)(OC)OC,carcinogenic
O=C1OC(C2=C1C=CC=C2)(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,carcinogenic
OC([C@H](CC1=CC=C(N(CCCl)CCCl)C=C1)N)=O,carcinogenic
O=NN(CCCCCC1)CCCCCC1,carcinogenic
O=[N+](C1=CC=CC2=CC=CN=C12)[O-],carcinogenic
OC1=C(C=CC=C1OC)O,carcinogenic
ClC1=CC=C(C=C1)Cl,carcinogenic
O=S1(=O)CCCO1,carcinogenic
ClCCN(C1=CC=C(C=C1)CCCC(=O)O)CCCl,carcinogenic
O=S(N1C[C@@H](C)C[C@H](C1)C)(C2=CC(C(O)=O)=C(Cl)C=C2)=O,carcinogenic
C1(N(C(C)=NC=1)C)[N+](=O)[O-],carcinogenic
O1C(=NN=C1C2OC(=CC=2)[N+](=O)[O-])N,carcinogenic
CC(COC1=CC=C(C=C1)C(C)(C)C)OS(=O)OCCCl,carcinogenic
CC(=O)NC1=CC=C(C=C1)OCC,carcinogenic
O=C(O[C@@H]1CCN2[C@@]([H])1C3=CC2)\C(C[C@@H](C)[C@](O)(CO)C(OC3)=O)=C([H])/C,carcinogenic
O=NN(C)CCCCCCCCCCCC,carcinogenic
O=NN(C(=O)N)CCC,carcinogenic
O=NN(CC=C1)CC1,carcinogenic
O=NN(CC(C)O)CC(C)O,carcinogenic
OC1=CC=C(C=C1)O,carcinogenic
O=C(C)NCC1=NC(=NO1)C2=CC=C(O2)[N+]([O-])=O,carcinogenic
NC1=CC=CC(C)=C1.[H]Cl,carcinogenic
O=C4C=C2[C@@](CC4)([H])[C@]1([H])[C@](CC2)([H])[C@@](CC3)([H])[C@@](CC1)(C)[C@]3(OC(C)=O)C#C,carcinogenic
O=N[O-].[Na+],carcinogenic
O=N(=O)c1ccc(C)cc1,carcinogenic
ClCOCCl,carcinogenic
O=NN1CCCC1,carcinogenic
O=NN1CCC(=O)NC1=O,carcinogenic
NC(NC1=CC=C(C=C1)OCC)=O,carcinogenic
O=NN1CCSCC1,carcinogenic
O=NN1CCOCC1,carcinogenic
O=NN1CCCCCCC1,carcinogenic
NN,carcinogenic
O=NN(CCCCC)CCCCC,carcinogenic
O=NN(CCCC)CCCC,carcinogenic
ClCCN(C(COC2=CC=CC=C2)C)CC1=CC=CC=C1.Cl,carcinogenic
O=NN(CCN1)CC1,carcinogenic
O=NN(CCN(C)C)C(=O)[NH2+]CC.[O-]N=O,carcinogenic
CN1CC[C@H]2OC(=O)C3(C[C@@H](C)[C@@](C)(O)C(=O)OC\C(=C\C1)C2=O)O[C@@H]3C,carcinogenic
C1=CC(=CC=C1N(C)N=O)N=O,carcinogenic
OCCNC2=C1C=CC=CC1=NC(C3=CC=C([N+]([O-])=O)S3)=N2,carcinogenic
CC(=O)NC1=NN=C(S1)C2=CC=C(O2)[N+]([O-])=O,carcinogenic
O=C(OC1=C2C(=CC=C1)C=CC=C2)NC,carcinogenic
ON=C1C=CC(=NO)C=C1,carcinogenic
[N+](=N/CCC)(/CCC)[O-],carcinogenic
OC2=NN=C(O2)C1=CC=C([N+]([O-])=O)O1,carcinogenic
O=NN(C1=CC=CC=C1)C2=CC=CC=C2,carcinogenic
OCC1CO1,carcinogenic
COC1=CC(=C(C=C1)N)C,carcinogenic
OCC(CO)(CBr)CBr,carcinogenic
S=C1NCCN1,carcinogenic
CN(N=O)C1=C(C(NC)=O)N(C)C=N1,carcinogenic
[Al+3].[O-]P(=O)OCC.[O-]P(=O)OCC.[O-]P(=O)OCC,carcinogenic
O(C1=CC=CC=C1)CC2CO2,carcinogenic
N=C(N(N=O)C)N[N+](=O)[O-],carcinogenic
S=P(N1CC1)(N1CC1)N1CC1,carcinogenic
S=C([S-])NCCNC([S-])=S.[Zn+2],carcinogenic
S=C([S-])N(C)C.[S-]C(N(C)C)=S.[Zn+2],carcinogenic
C1(=CC=C(C=C1)O)NC(C)=O,carcinogenic
S=C(NCC)NCC,carcinogenic
O(CC1(C)C)C1=O,carcinogenic
S=C(N(CC)CC)SCC(=C)Cl,carcinogenic
O=C1OC2=C(C=CC=C2)CC1,carcinogenic
OC1=C(C=C(C=C1)C)/N=N/C2=CC=C(C=C2)NC(=O)C,carcinogenic
OC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl,carcinogenic
OC1=C(C([O-])=O)C=C(N=NC2=CC=C(C3=CC=C(N=NC4=C([O-])C(/N=N/C(C=C(S([O-])(=O)=O)C=C5)=C5[O-])=CC=C4O)C=C3)C=C2)C=C1.[Na+].[Na+].[Cu+2],carcinogenic
OC1=C(C=CC(=C1)C)O,carcinogenic
ClC(C(C1=CC=C(C=C1)Cl)C2=CC=C(C=C2)Cl)(Cl)Cl,carcinogenic
OC1=C(C=C(C=C1)N)[N+](=O)[O-],carcinogenic
OC(C=C)C1=CC=C2OCOC2=C1,carcinogenic
N1C2=C(C3=C1C=CC=C3)C(=NC(=C2C)N)C.CC(=O)O,carcinogenic
OC(=O)CN(CC(=O)O)CC(=O)O,carcinogenic
C1(=CC=C(C=C1)SC2=CC=C(C=C2)N)N,carcinogenic
C1=C(C=CC=C1OCC2CO2)OCC3CO3,carcinogenic
OC(C1=CC=C(C(=C1)CO)O)CNC(C)(C)C,carcinogenic
ClCCCl,carcinogenic
OC1=CC=C2C(=C1/N=N/C3=CC=CC=C3)C=CC=C2,carcinogenic
OC1=CC=C2C(=C1/N=N/C3=C(C=C(C=C3)C)[N+](=O)[O-])C=CC=C2,carcinogenic
CCC(C)=NO,carcinogenic
CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],carcinogenic
OC1=CC2=C(C=C1)OCO2,carcinogenic
OC1=C(O)C=C4C(C[C@](COC2=C3C=CC(O)=C2O)([C@@]34[H])O)=C1,carcinogenic
O=C1N(CC(=O)N1)/N=C/C2=CC=C(O2)[N+](=O)[O-],carcinogenic
OC1=C(C=CC=C1)O,carcinogenic
OC1=CC=C(C=C1C(C)(C)C)OC,carcinogenic
O=NN(CC(=O)C)CC(=O)C,carcinogenic
C12(C(=CC(=CC=1S(=O)(=O)[O-])S(=O)(=O)[O-])C=CC(=C2/N=N/C3=C4C(=C(C=C3)S(=O)(=O)[O-])C=CC=C4)O).[Na+].[Na+].[Na+],carcinogenic
O=C3C[C@@H]4CC[C@@H]1[C@H](CC[C@]2(C)[C@@](C)(O)CC[C@@H]12)[C@@]4(C)C\C3=C\O,carcinogenic
O=C(C1=C(C=CC=C1)C(=O)OCC(CCCC)CC)OCC(CCCC)CC,carcinogenic
C=CCN=C=S,carcinogenic
O=C(C[C@@H](C[C@@H](/C=C/C1=C(C2=C(N1C(C)C)C=CC=C2)C3=CC=C(C=C3)F)O)O)O,carcinogenic
O=C(C1=CC=NC=C1)NN,carcinogenic
N(CC(CO)O)(CCO)N=O,carcinogenic
CCC(CC)[N+]([O-])=O,carcinogenic
O=C(C)NC3=CC=C(C2=C3)C1=C(C2=O)C=CC=C1,carcinogenic
O=C(C)CN(N=O)CCO,carcinogenic
OC(=O)C1=CC=C(C=C1)[N+](=O)[O-],carcinogenic
C1/C=C\CN(O1)N=O,carcinogenic
O=C(C)OC(C2=CC1=C(C=C2)OCO1)C=C,carcinogenic
O=CC1=CC=CO1,carcinogenic
O=C(N(C)N=O)C1=C(N(N=O)C)N=CN1C,carcinogenic
O=C(N(C)C)NC1=CC=C(C=C1)Cl,carcinogenic
CC(C)=C,carcinogenic
O=[N+](C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[O-],carcinogenic
O=C(N(CC(C)C)N=O)N,carcinogenic
O=C(N(C)N=O)NC1=NC2=C(S1)C=CC=C2,carcinogenic
O=C(CC(C)C)OCC=C,carcinogenic
O=C(C4=CC(OC)=C(OC)C(OC)=C4)O[C@@H]1C[C@@]3([H])[C@@](C[C@](N5C3)([H])C2=C(CC5)C(C=C6)=C(C=C6OC)N2)([H])[C@H]([C@](OC)=O)[C@H]1OC,carcinogenic
NC(CCSCC)C(=O)O,carcinogenic
CC(C)C(O)(C(C)O)C(=O)OC\C1=C\CN2CC[C@@H](OC(=O)C(\C)=C\C)[C@@H]12,carcinogenic
O=C(CCCN(C)N=O)O,carcinogenic
O=C(CCC(=O)O)NN(C)C,carcinogenic
O=C(C(F)(F)F)NC1=CC3=C(C2=CC=CC=C2C3)C=C1,carcinogenic
O=[N+]([O-])C3=CC=C(O3)/C=N/N1C(O[C@@H](CN2CCOCC2)C1)=O.Cl,carcinogenic
O=[N+]([O-])C1=CC=C(O1)/C=N/N2C(N(CCO)CC2)=O,carcinogenic
S=C(N(C)C)NC,carcinogenic
O=[N+](C1=CC=C(O1)/C=N/NC(=O)N)[O-],carcinogenic
O=[N+](C1=CC(=C(C=C1)O)N)[O-],carcinogenic
O=C(N(CC(C)O)N=O)NCCCl,carcinogenic
O[C@H]([C@H](O)CBr)[C@H](O)[C@H](O)CBr,carcinogenic
N(N(CCCO)C)=O,carcinogenic
O[C@@H]3C\C4=C\C[C@@H]2[C@H](CC[C@]1(C)C(=O)CC[C@H]12)[C@@]4(C)CC3,carcinogenic
O=[Cr](=O)(O[Cr](=O)(=O)[O-])[O-].[Na+].[Na+],carcinogenic
O=[C@@]([C@@H]1C=C([C@]4([H])N(C)C1)C3=C2C(C4)=C(NC2=CC=C3)Br)N[C@@]5([C@H](C)C)C(N([C@@H](CC(C)C)C(N7CCC[C@@]67[H])=O)[C@@]6(O)O5)=O.O=S(O)(C)=O,carcinogenic
O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(=O)N(CCCl)N=O,carcinogenic
O=C(/C=C(C(C1=CC=C(C=C1)OC)=O)/Br)[O-].[Na+],carcinogenic
O=P(OCC(CBr)Br)(OCC(CBr)Br)OCC(CBr)Br,carcinogenic
C12C3=C(C=CC=C3)CC1=CC(=CC=2)NC(C)=O,carcinogenic
O=C(O[C@@H]1CC[N+]2([O-])[C@@]([H])1C3=CC2)\C(C[C@@H](C)[C@](O)(CO)C(OC3)=O)=C([H])/C,carcinogenic
O=C(C(C)=C4N)C2=C(C4=O)[C@](COC(N)=O)([H])[C@@](N2C3)(OC)[C@@]1([H])N[C@@]31[H],carcinogenic
O=C(C(C)(OC1=CC=C(C=C1)C2=CC=C(C=C2)Cl)C)OC,carcinogenic
O=[N+](C1=CC=CC=C1)[O-],carcinogenic
O=[N+](C1=CC=C2C3=C4C(=CC=C13)C=CC=C4C=C2)[O-],carcinogenic
O=C1C2=C(C(=CC=C2C(=O)C3=C1C=CC=C3)C)[N+](=O)[O-],carcinogenic
O=[N+](OC(CO[N+](=O)[O-])CO[N+](=O)[O-])[O-],carcinogenic
O=[N+](C1=CN=C(S1)N)[O-],carcinogenic
[O-]\[N+](C)=N/CC,carcinogenic
O=C1C2=C(C=CC=C2O)C(=O)C3=CC=CC(=C13)O,carcinogenic
O=C1C2=C(C=CC=C2C(=O)C3=C1C=CC=C3)O,carcinogenic
NC(=O)OCC,carcinogenic
O=C1C2=CC3=C(C=C2N(C=C1C(=O)O)CC)OCO3,carcinogenic
[O-][N+](=O)C1=CC=C(O1)C2=CSC(=N2)NNC=O,carcinogenic
O=C1C2=C(C3=C(C=C2OC)OC4C3C=CO4)OC5=C1C(=CC(=C5OC)OC)O,carcinogenic
Cn3nc(CO)nc3NCCCOc2cc(CN1CCCCC1)ccc2,carcinogenic
O=C1C2=C(C(=CC(=C2C(=O)C3=C1C=CC=C3)Br)Br)N,carcinogenic
O=C1C=C(NC(=S)N1)CCC,carcinogenic
NC1=C(C=CC(=C1)N)C,carcinogenic
O=C1C2=C(C(=CC=C2N)N)C(=O)C3=C(C=CC(=C13)N)N,carcinogenic
