SMILES,-log10(LC50[mol/L])
CCCCCCCCS(=O)C(Cc1ccc2c(c1)OCO2)C,5.642
Oc1ccccc1O,4.287
Clc1ccc(c(c1)Cl)Cl,4.790
Clc1ccc(c(c1)Cl)O,4.296
COc1ccc(c(c1)C(=O)CBr)OC,6.607
O=N(=O)c1ccc(c(c1)N(=O)=O)C,3.759
CCOc1cc(C=O)ccc1O,3.278
COc1cc(C=O)ccc1O,3.118
Nc1ccc(cc1)S(=O)(=O)O,3.237
CN(c1ccccc1)C,3.267
Clc1cccc(c1)N(=O)=O,3.933
CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,4.486
O=N(=O)N1CN(CN(C1)N(=O)=O)N(=O)=O,4.305
O=N(=O)c1ccc(c(c1)Cl)N,3.927
O=Cc1ccc(cc1)C(C)C,4.350
COP(=S)(Oc1ccc(c(c1)C)N(=O)=O)OC,4.809
CCNc1nc(NCC)nc(n1)Cl,4.499
c1ccc(cc1)Nc1ccccc1,4.650
OCCOc1ccccc1,2.604
CCCCC(C=O)CC,3.629
CCc1ccc(cc1)O,4.070
COc1ccc(cc1)C=O,2.930
CC(C=O)CCC,3.727
CCOC(=O)CCC(=O)OCC,3.095
Oc1ccc(cc1)O,6.400
CCC=O,2.650
CC(=O)CC(=O)C,2.851
CCCCCC(=O)OCC,4.208
CCCC=O,3.654
CCCCOC(=O)C,3.810
O1CCOCC1,0.931
OC(=O)CCCCC(=O)O,3.178
CCCCCCCCCCCCN,6.255
OCC(N(=O)=O)(CO)CO,2.732
CCCCOP(=O)(OCCCC)OCCCC,4.448
O=C1CC(=O)CC(C1)(C)C,1.086
CC(CCl)O,2.586
ON=C(C)C,2.117
ClC(=C(Cl)Cl)Cl,3.955
ClNS(=O)(=O)c1ccc(cc1)C,4.278
C#CC(c1ccccc1)(O)C,3.112
ClC1CC2C(C1Cl)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,6.897
CN(C(=S)S)C,6.424
Cc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C,5.780
OC1=NS(=O)(=O)c2c1cccc2,1.050
CCCCCCCCOC(=O)C(O)C,3.926
CCOP(=S)(SCSC(C)(C)C)OCC,6.284
COC(=O)c1ccccc1C(=O)OC,3.451
CCN(C(=O)C(=C(OP(=O)(OC)OC)C)Cl)CC,3.477
c1ccc2c(c1)oc1c2cccc1,4.967
BrC(c1ccccc1C(Br)Br)Br,5.985
ClC(SN1C(=O)C2C(C1=O)CC=CC2)(Cl)Cl,6.351
ClC(SN1C(=O)c2c(C1=O)cccc2)(Cl)Cl,6.207
Nc1ccc(c(c1)O)C(=O)Oc1ccccc1,4.680
CCOc1ccc(cc1)N=Nc1ccc(c(c1)S(=O)(=O)O)Sc1ccc(cc1S(=O)(=O)O)N=Nc1ccc(cc1)OCC,4.475
CCN(C(=O)c1cccc(c1)C)CC,3.240
OCc1cccc(n1)C=Cc1ccc(o1)N(=O)=O,5.478
Oc1ccc2c(c1)cccc2,4.620
CC(=O)c1ccc(c(c1Cl)Cl)Cl,5.048
CN(C(=S)SSC(=S)N(C)C)C,7.045
CCC(=O)O,1.307
CC1=CCC(CC1)C(=C)C,2.149
COc1ccc(c(c1OC)OC)C(=O)C,3.025
CCC(N)C,2.425
CCCCCCC1C(=O)OC(C)C(C(=O)OC(C1OC(=O)CC(C)C)C)NC(=O)c1cccc(c1O)NC=O,9.612
NCCN1CCNCC1,1.771
CCOC(=O)C=C,4.603
CCOC(=O)C(C(=O)OCC)Cl,5.311
CCCCOC(=O)CCC(=O)OCCCC,4.713
O=CC=C(CCC=C(C)C)C,4.320
CCOC(=O)CCCCC(=O)OCC,4.051
NCCO,1.470
CCOC(=O)C,2.583
CC1CNCC(O1)C,2.474
CCc1cccc(c1)CC,4.510
ClCCCCl,3.007
CCCCCC(=O)O,2.840
CCCCCCOC(=O)C,4.557
CCCCOCCCC,3.604
Clc1ccc(c(c1)C(=O)Nc1ccc(cc1Cl)N(=O)=O)O,6.564
CCCCCCCCCO,4.410
CCCCCCNCCCCCC,5.380
O=C1C2(Cl)C3(C4(C1(Cl)C1(C2(C3(Cl)C(C41Cl)(Cl)Cl)Cl)Cl)Cl)Cl,6.113
CCNCc1ccccc1,3.374
Clc1cccc[n+]1C,3.109
CC(OP(=O)(OC(C)C)C)C,2.451
OC(=O)C1C2CCC(C1C(=O)O)O2,5.395
Brc1ccc(cc1)C(=O)c1cccnc1,4.109
O=C(c1ccncc1)c1ccccc1,3.250
COc1cccc(c1O)C=O,4.767
CCOP(=S)(ON=C(c1ccccc1)C#N)OCC,5.012
CC(C(C#C)(O)C)C,2.739
C=Cn1c2ccccc2c2c1cccc2,7.809
Nc1cccc(c1)OCc1ccccc1,4.338
Sc1nc2c(s1)cccc2,4.182
CCC(C(CO)C)O,1.134
CCCCCc1ccc(cc1)O,5.178
COc1cccc(c1)O,3.219
COc1ccc(cc1)O,3.110
COc1ccc(cc1)OC,3.070
CC1(C)CCC(O1)(C)C,2.883
CCCCCCCCCCCCOS(=O)(=O)O,4.451
O=N(=O)c1ncccc1O,2.924
CNC(=O)Oc1cccc2c1OC(C2)(C)C,5.339
NCCC(C)(C)C,2.226
CCCN(c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O)CCC,6.500
COCN(c1c(CC)cccc1CC)C(=O)CCl,4.732
ClN1C(=O)N(C(C1=O)(C)C)Br,1.234
CCCCCCCCc1ccc(cc1)N,6.233
COC(C)(C)C,2.107
CCCCc1ccc(cc1)O,4.470
C=CCCCCCCC=C,5.678
ClCCP(=O)(O)O,3.046
CNC(=O)ON=C(SC)C,4.920
Oc1cccc(n1)Cl,2.782
Oc1ccc(cc1)N=Nc1ccccc1,5.229
N#Cc1cc(I)c(c(c1)I)O,4.737
N#Cc1cc(Br)c(c(c1)Br)O,4.342
Clc1cc(ccc1NC(=O)c1c(C)c(Cl)cc(c1O)C(C)(C)C)N(=O)=O,7.691
OC(=O)C1(C)CCCC2(C1CCc1c2ccc(c1)C(C)C)C,4.727
C=CCc1ccccc1O,3.979
C=Cc1ccc(cc1)C(C)(C)C,5.510
CCOP(=S)(OC(=CCl)c1cc(Cl)ccc1Cl)OCC,6.143
Nc1nnc(c(n1)C)C,2.115
O=Cc1cc(Br)ccc1O,5.189
COC(=O)C1C(C(=O)OC)C2(C(C1(Cl)C(=C2Cl)Cl)(Cl)Cl)Cl,5.383
CCN(c1ccc(c(c1)O)C=O)CC,4.557
CCCCNC(=O)n1c(NC(=O)OC)nc2c1cccc2,5.184
Oc1cc(c2c(c1N=Nc1ccc3c(c1O)cccc3)ccc(c2)N(=O)=O)S(=O)(=O)O,4.886
C=C1CCC2CC1C2(C)C,5.434
COc1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,5.632
O=N(=O)c1ccc(c(c1C)N(=O)=O)N(=O)=O,6.317
Cc1cccc(n1)Cl,2.740
CCCCN(c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O)CC,6.525
ClCC(=C)CCl,5.820
N#Cc1cc(Cl)c(c(c1)Cl)O,3.889
CCNc1nc(NC(C)C)nc(n1)Cl,4.095
CCCCOCCOC(=O)COc1ccc(cc1Cl)Cl,5.052
Clc1cccc(n1)C(Cl)(Cl)Cl,4.368
CC(C(=O)OCCOCCCC)Oc1cc(Cl)c(cc1Cl)Cl,5.568
Nc1cc(N(=O)=O)c(c(c1)N(=O)=O)C,4.458
CC(CCC(C#C)(O)C)C,3.458
CCCCOC(=O)c1ccc(cc1)C(=O)OCCCC,5.667
Oc1ccc(cc1)Oc1ccc(cc1)O,4.544
OCCN(CC=C(CCC=C(C)C)C)CC=C(CCC=C(C)C)C,6.347
NC(=O)c1c(Cl)cccc1Cl,2.608
CCCCCCCCCCN,5.180
CC(C#C)O,3.779
CNC(=O)Oc1ccc(c(c1)C)N(C)C,5.029
Brc1[nH]c(c(n1)Br)Br,4.697
Clc1ccccc1c1ccccc1,4.674
Clc1cccc(c1)c1ccccc1,4.384
c1ccc2c(c1)c1cccc3c1c2ccc3,7.346
Cc1oc(c(n1)C)C,2.395
OCP(=O)(CO)O,3.638
CCOP(=S)(c1ccccc1)Oc1ccc(cc1)N(=O)=O,6.540
CC(CC#C)O,3.380
Clc1ccc(c(c1)O)O,4.961
COC(=O)c1ccc(cc1O)O,3.603
O=C(N(C)C)NC1CC2CC1C1C2CCC1,3.842
CCNc1nc(nc(n1)Cl)NC(C#N)(C)C,4.116
Clc1nc(Cl)c(c(c1Cl)Cl)Cl,5.730
CCCSCCSCCC,4.380
CN(CC(C(=O)C)C)C,4.182
CCSC(=O)N1CCCCCC1,3.841
Cc1ccc(cc1)S(=O)(=O)n1cncc1,3.726
Clc1ccc(c(c1)Cl)C(=O)C,4.208
CCCCCCCCC#N,4.305
O=C(C1C(C1(C)C)C=C1CCCC1)OCc1coc(c1)Cc1ccccc1,8.571
Cc1cc2c(cc1C)cccc2C,4.425
Brc1cccc(c1)C(=O)N,3.328
CCOC(=O)CC(C(=O)OCC)S,3.770
CNC(=O)ON=C(C(=O)N(C)C)SC,4.512
CCCCOCN(c1c(CC)cccc1CC)C(=O)CCl,5.653
Nc1ccc(c(c1)C(F)(F)F)F,3.775
OC1CCCCC1c1ccccc1,3.599
CCOCCOC(=O)C(=C)C,3.757
ClC12C(Cl)(Cl)C3(C4(C1(Cl)C1(C2(Cl)C3(C4(C1(Cl)Cl)Cl)Cl)Cl)Cl)Cl,3.623
Cc1ccc(c(c1O)C)C,4.220
CCCCCCCCCCCC#N,5.630
COc1ccccc1C(=O)N,3.100
Clc1ccc(c(c1)Cl)C(=O)N,3.298
CC(c1cccc(c1N)C(C)C)C,4.064
CC(=C)C(=O)OCC1CCCO1,3.691
COc1cc(Cl)c(cc1O)Cl,4.635
OCCNc1ccc(c2c1C(=O)c1ccccc1C2=O)NC,5.472
O=C(C(=C)C)OCc1ccccc1,4.577
CCCCCCOC(=O)C=C,5.147
c1ccc2c(c1)cnnc2,3.112
COC(=O)C1(O)c2cc(Cl)ccc2c2c1cccc2,5.278
c1ccc2c(c1)nc1c(c2)cccc1,4.891
CNC(=O)Oc1ccc(cc1)C(C)(C)C,4.320
O=N(=O)N1CN(CN(CN(C1)N(=O)=O)N(=O)=O)N(=O)=O,4.295
c1ccc2c(c1)occ2,3.926
ClC1C2C(C3C1(Cl)O3)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,8.207
c1ccc2c(cc1)ccc2,4.154
N1CCN(CC1)Cc1ccccc1,3.570
C1CN2CCN1CC2,1.812
C1C2CC3CC1CC(C2)C3,5.680
OCCCc1cccnc1,2.961
Clc1cc(Cl)c(c(c1)N(=O)=O)N(=O)=O,6.720
CCCCCCCCCCCCCN,6.484
Clc1ccc(cc1)C(=O)c1ccccc1N,5.039
COC(=O)c1cc(Cl)ccc1Cl,4.169
CCN(c1c(cc(c(c1N(=O)=O)N)C(F)(F)F)N(=O)=O)CC,5.393
CCOP(=S)(Oc1nc(Cl)c(cc1Cl)Cl)OCC,6.314
CCN(c1nc(cc(n1)C)OP(=S)(OC)OC)CC,5.087
FC(C(C(O)(C)C)(F)F)F,2.440
COc1cc(C=O)cc(c1O)Br,3.588
COP(=S)(Oc1ccc(cc1)N(=O)=O)OC,4.508
CCSCSP(=S)(OCC)OCC,6.018
CCSCCSP(=S)(OCC)OCC,4.854
COP(=S)(Oc1cc(Cl)c(cc1Cl)Cl)OC,6.023
COP(=O)(OC(C(Br)(Cl)Cl)Br)OC,5.062
NCCCNCCCCNCCCN,3.463
C=CC(=O)OC1CCCCC1,5.018
ClC1=C(Cl)C2(C(C1(Cl)C1C2C2CC1C=C2)(Cl)Cl)Cl,7.382
CCCC(C1(CC=C)C(=O)NC(=NC1=O)O)C,4.043
CNC(=O)Oc1cc(C)c(c(c1)C)N(C)C,4.117
OCCNc1ccc(c2c1C(=O)c1c(C2=O)c(O)ccc1O)NCCO,3.838
CCOC(=O)N(C(=O)OCC)C(=O)OCC,4.244
BrC(C#N)Br,5.558
CC(C(=O)OCCCC(CCC)C)Oc1cc(Cl)c(cc1Cl)Cl,4.239
CCP(=S)(OCC)Oc1cc(Cl)c(cc1Cl)Cl,6.171
O=N(=O)c1ccc(c(c1)O)N(=O)=O,4.739
O=C(N(C)C)Nc1ccc(c(c1)Cl)Cl,4.215
Fc1ccc(cc1)Oc1ccc(cc1)F,5.262
CCCSCSP(=S)(OCC)OCC,5.933
CCOP(=S)(Oc1cc(C)nc(n1)C(C)C)OCC,4.811
OS(=O)(=O)c1cccc2c1c(ccc2N=Nc1ccc(c2c1cccc2)N=Nc1cccc(c1)S(=O)(=O)O)Nc1ccccc1,5.190
CCNc1nc(OC)nc(n1)NC(C)(C)C,3.656
Clc1ccc(c(c1)O)Oc1ccc(cc1Cl)Cl,6.047
CCCN(c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O)CCC,5.999
COP(=S)(Oc1ccc(cc1)Sc1ccc(cc1)OP(=S)(OC)OC)OC,4.136
OC(=O)COC(C(=O)O)CC(=O)O,2.069
COCCCNCc1cc(OC)c(c(c1)OC)OC,3.297
Oc1cc(Cl)c(cc1O)Cl,5.303
BrCC1CCCCO1,2.941
Clc1cc(Cl)c(c(c1Cl)N)Cl,5.930
Fc1ccc(cc1)N(=O)=O,3.696
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(cc1)Cl,5.860
O=N(=O)c1cc(N)c(c(c1)N(=O)=O)C,4.119
c1cc(nc(c1)c1ccccc1)c1ccccc1,6.038
Clc1ccc(c(c1)NC(=O)Nc1ccc(c(c1)Cl)Cl)Oc1ccc(cc1S(=O)(=O)O)Cl,4.951
CCCCCCCCCCSCCN,6.213
N#Cc1cccc(c1)C(F)(F)F,3.555
Clc1ccc(c(c1)Cl)OS(=O)(=O)C,4.739
CCOP(=S)(OP(=S)(OCC)OCC)OCC,6.258
Clc1cc(Cl)c(cc1N(=O)=O)N(=O)=O,6.784
Nc1ccc(cc1)F,3.751
CCCCCCCCCCc1ccc(cc1)N,6.569
Clc1ccc(c(c1)c1ccccc1Cl)Cl,6.882
Sc1cccc[n+]1[O-],8.132
CCOC(=O)C(F)(F)F,1.153
OC(=O)c1c(F)cccc1F,3.360
O=Cc1c(F)cccc1Cl,4.227
C#CC(c1ccccc1)(c1ccccc1)O,4.269
Fc1ccc(c(c1)C(F)(F)F)N,3.782
CCC(C(C=O)C)C,3.854
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C1C(C1(C)C)(C)C,8.169
O=Cc1cccc(c1)Oc1ccccc1,5.630
CCCCCCOc1ccc(cc1)N,4.777
ClC=CC[N+]12CN3CN(C2)CN(C1)C3,3.903
O=N(=O)c1cc(cc(c1O)N(=O)=O)C(C)(C)C,5.650
CCCCCCCC#CCO,5.159
CCCSP(=O)(Oc1ccc(cc1Cl)Br)OCC,6.645
CCNS(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,6.446
CC=CC=O,4.865
COc1ccc(c(c1)OC)NC=CC1=[N+](C)c2c(C1(C)C)cccc2,5.066
COC(=O)c1ccc(cc1N(=O)=O)Cl,3.895
Oc1ccc(cn1)Cl,2.056
O=Cc1cc(O)ccc1N(=O)=O,3.601
CC(SSC(C)C)C,4.257
Cc1ccc(c(c1)S(=O)(=O)O)Nc1ccc(c2c1C(=O)c1ccccc1C2=O)Nc1ccc(cc1S(=O)(=O)O)C,5.002
OCc1cocc1,2.286
O=Cc1ccccc1F,4.960
COc1cc(C=O)c(cc1OC)OC,3.598
N#Cc1ccccc1C(F)(F)F,3.608
O=Cc1cccc(c1)C(F)(F)F,5.277
CNc1ccc(cc1)F,3.513
OC1CC2C(C1(C)CC2)(C)C,3.387
O=C1CC2C(C1(C)CC2)(C)C,3.141
CC(OC(=O)C(=C)C)C,3.528
CC12CCC(CC1)C(O2)(C)C,3.180
CC(=C1CCC2C(=C1)CCC1C2(C)CCCC1(C)C(=O)O)C,5.307
C=C1C2CCC3C1(C)CCCC(C23)(C)C,4.302
CCCC(C=C)O,3.518
OC(=O)CC(CC(=O)O)(C)C,1.055
Clc1c(O)cc(c(c1Cl)Cl)Cl,5.752
n1ccc(cc1)CCc1ccncc1,3.086
O=N(=O)c1c(C)cccc1O,3.521
C1Cc2c(C1)cccc2,3.926
c1ccc2c(c1)OCC2,3.168
OC1CC2CC1CC2,2.692
C1CC2CC1C=C2,3.974
OC(=O)c1cccc(n1)C(=O)O,2.715
CCC1(C(=O)NC(=O)NC1=O)c1ccccc1,2.681
ClC(C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)(Cl)Cl,7.429
Clc1ccc(c(c1Cl)C(=O)O)Cl,4.424
O=Cc1cccnc1,3.815
CCCCC(=O)CCCC,3.662
CC(=O)Br,3.481
O=N(=O)c1ccc(c(c1)N(=O)=O)O,4.224
CCOC(=O)N,1.231
COP(=O)(OC)OC,1.301
COCC(N(c1c(C)cccc1CC)C(=O)CCl)C,4.539
CC(=C)C(=C)C,4.075
CC(C1=CC2=CCC3C(C2CC1)(C)CCCC3(C)C(=O)O)C,5.104
COP(=O)(C(C(Cl)(Cl)Cl)O)OC,4.513
CCN1C(=O)CC(=O)N(C1=S)CC,1.647
ClC(=CC1C(C1(C)C)C(=O)OCc1cccc(c1)Oc1ccccc1)Cl,7.640
O=N(=O)c1cc(N(=O)=O)c(cc1C)N,4.912
Cc1cc(C)c(c(c1)C)O,4.020
O=N(=O)c1ccccc1N(=O)=O,5.449
N#Cc1ccccc1C,3.420
O=Cc1ccccc1C,3.360
COC(=O)c1ccc(c(c1)N(=O)=O)C(=O)OC,4.565
OC(=O)c1ccccc1,2.474
Clc1ccc2c(c1)nc(s2)S,4.798
O=N(=O)c1cc(C)c(c(c1)N(=O)=O)O,5.007
COC(=O)c1ccc(c(c1)N)C(=O)OC,4.369
CCCCCc1ccccc1,4.938
CCSCCSCC,3.397
OC(=O)c1ccccc1O,1.969
CC(=O)OC(C)(C)C,2.551
ClCCCN(C)C,3.075
Clc1cccc(c1)Cl,4.263
ClCC=CCl,5.050
CCCCSCCCC,4.610
CCSCCCCSCC,4.469
CC(=O)c1ccc(c(c1)N(=O)=O)Cl,4.559
CCN(N=O)CC,2.120
NC(=O)c1ccccc1,2.263
CSc1ccc(cc1C)OP(=S)(OC)OC,4.963
O=N(=O)OC(CON(=O)=O)CON(=O)=O,4.919
ClCCN(CCCl)C,3.289
COc1ccc(c(c1)O)C(=O)C,3.379
O=Cc1ccccc1N(=O)=O,4.021
CCCCCCCC[N+](CCCCCCCC)(C)C,4.770
Clc1ccc(c(c1)Cl)N,4.410
CCCCNC(=O)OCC#CI,6.148
O=Cc1ccc(cc1)N(=O)=O,4.175
CCCCCCCCOc1ccccc1NC(=O)C,5.767
COP(=S)(Oc1nc(Cl)c(cc1Cl)Cl)OC,5.677
CC[N+](Cc1ccccc1)(CC)CC,3.151
CCOP(=S)(Oc1ccc(cc1)N(=O)=O)OCC,5.318
Cc1cc(Cl)nc(n1)N,3.007
NC(=O)c1ccc(cc1)C(C)(C)C,3.742
O=N(=O)c1ccc(c(c1N)C)N(=O)=O,5.341
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,5.466
CC(=O)C(C)C,1.999
CSCCCCCCSC,4.247
COc1cccc(c1C)OC,3.874
CN(c1ccccn1)C,2.983
C[N+](=C1C=CC(=C(c2ccc(cc2)N(C)C)c2ccccc2)C=C1)C,6.483
C=CCN=C=S,6.064
CN(N)C,3.884
CCCC(C1(CC)C(=O)NC(=NC1=O)O)C,3.660
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,3.423
OCC(O)C,0.242
O=N(=O)c1cccc(c1N)C,3.799
COC(=O)C1(C)CCCC2(C1CCc1c2ccc(c1Cl)C(C)C)C,5.412
COC(=O)C1(C)CCCC2(C1CCc1c2cc(c(c1Cl)C(C)C)Cl)C,5.758
Oc1c(cccc1N(=O)=O)N(=O)=O,3.666
Cc1cccc(c1O)C,3.751
Cc1ccc(c(c1)N)N(=O)=O,3.799
CCc1ccccc1N,3.210
O=C1C=C(C)C(=O)c2c1cccc2,6.195
ClC1C(Cl)C(Cl)C(C(C1Cl)Cl)Cl,6.551
Oc1c(Cl)cc(c(c1Cl)Cl)Cl,5.352
NCC(C)(C)C,2.264
