SMILES,-log10(LC50[mol/L])
CNC(=O)O/N=C/C(S(=O)(=O)C)(C)C,5.900
CNC(=O)O/N=C/C(SC)(C)C,5.551
CNC(=O)Oc1cccc2c1OC(C2)(C)C,6.520
CNC(=O)Oc1cccc2c1OC(O2)(C)C,6.883
CNC(=O)Oc1cccc2c1cccc2,5.942
CNC(=S)N,3.979
CNC(=S)N(C)C,2.188
CNS(=O)(=O)Cc1ccc2c(c1)c(CCN(C)C)c[nH]2,3.008
CNc1ccccc1,5.790
CO,0.989
CO/N=C(\c1ccccc1CO/N=C(/c1cccc(c1)C(F)(F)F)\C)/C(=O)OC,5.742
COC(=O)N(c1ccccc1COc1ccn(n1)c1ccc(cc1)Cl)OC,6.756
COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC,4.330
COC(=O)Nc1cccc(c1)OC(=O)Nc1cccc(c1)C,4.652
COC(=O)c1ccccc1C(=O)OC,3.770
COC(CCCC(C/C=C/C(=C/C(=O)OC(C)C)/C)C)(C)C,5.475
COCC(=O)N(c1c(C)cccc1C)C(C(=O)OC)C,3.536
COCC(N(c1c(C)cccc1CC)C(=O)CCl)C,4.339
COCC(O)C,0.590
COCC(OC(=O)C)C,2.511
COCC(OCC(O)C)C,1.888
COP(=O)(C(C(Cl)(Cl)Cl)O)OC,7.699
COP(=O)(NC(=O)C)SC,4.107
COP(=O)(SC)N,6.618
COP(=S)(Oc1ccc(c(c1)C)[N+](=O)[O-])OC,7.671
COP(=S)(Oc1ccc(cc1)[N+](=O)[O-])OC,7.341
COP(=S)(OC)SCN1N=Nc2ccccc2C1=O,7.858
COc1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,7.012
COc1c(O)c(Cl)c(c(c1Cl)Cl)Cl,6.176
COc1c(O)cc(c(c1Cl)Cl)Cl,5.527
COc1c([N+](=O)[O-])c(C)c(cc1C(C)(C)C)[N+](=O)[O-],5.636
COc1cc(Cl)c(c(c1O)Cl)Cl,5.372
COc1ccc(cc1)N,5.571
COc1ccc(cc1Cl)NC(=O)N(C)C,3.155
COc1ccc2c(c1)nc([nH]2)S(=O)Cc1ncc(c(c1C)OC)C,3.594
COc1cccc(c1)N,5.642
COc1cccc(c1)O,3.480
COc1ccccc1,3.432
COc1ccccc1N,4.011
COc1ccccc1O,3.680
COc1ccccc1OCCNCC(COc1cccc2c1c1ccccc1[nH]2)O,5.132
CSc1ccc(cc1C)OP(=S)(OC)OC,6.790
CSc1nc(NC2CC2)nc(n1)NC(C)(C)C,4.485
CSc1nc(nc(n1)N)NC(C)(C)C,4.288
Cc1cc(C)c(cc1C)C,5.450
Cc1ccc(c(c1)C)C,4.530
Cc1ccc(c(c1)C)O,4.765
Cc1ccc(cc1)C,3.524
Cc1ccc(cc1)C(=O)c1cc(O)c(c(c1)[N+](=O)[O-])O,4.140
Cc1ccc(cc1)C(C)C,4.317
Cc1ccc(cc1)Cl,4.933
Cc1ccc(cc1)O,3.710
Cc1ccc2c(c1)ccc(n2)C,3.618
Cc1ccc2c(c1)cccc2,4.980
Cc1ccc2c(c1)ccs2,4.025
Cc1cccc(c1)C,3.653
Cc1cccc(c1)N,5.168
Cc1cccc(c1)O,3.760
Cc1cccc(c1)[N+](=O)[O-],4.040
Cc1cccc2c1cccc2,5.001
Cc1ccccc1C,3.791
Cc1ccccc1O,3.863
CC1=CN(C(=O)NC1=O)C2C=CC(O2)CO,2.359
Cc1csc2c1cccc2,4.756
ClC(=C(Cl)Cl)Cl,4.002
ClC(=C)Cl,3.280
ClC(=CC1C(C1(C)C)C(=O)OCc1cccc(c1)Oc1ccccc1)Cl,8.067
ClC(=O)C(C)(C)C,2.576
ClC(C(Cl)(Cl)Cl)(Cl)Cl,4.927
ClC(C(Cl)(Cl)Cl)Cl,4.186
ClC(C(Cl)Cl)Cl,3.460
ClC(C(F)(F)F)Cl,3.954
ClC(C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)(Cl)Cl,8.271
ClC(Cl)(Cl)Cl,3.643
ClC(Cl)Cl,3.254
ClC1=C(Cl)C(C(=C1Cl)Cl)(Cl)Cl,6.720
ClC1=C(Cl)C2(C(C1(Cl)C1C2C2CC1C1C2O1)(Cl)Cl)Cl,6.508
ClC1=C(Cl)C2(C(C1(Cl)C1C2COS(=O)(=O)OC1)(Cl)Cl)Cl,5.300
ClC1C2OC2C2C1C1(Cl)C(=C(C2(C1(Cl)Cl)Cl)Cl)Cl,6.210
ClC1C=CC2C1C1(Cl)C(=C(C2(C1(Cl)Cl)Cl)Cl)Cl,6.777
ClC1CC2C(C1Cl)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,6.623
ClC=C(Cl)Cl,3.485
ClC=CCl,2.642
ClCC(CCl)Cl,3.655
ClCC(Cl)(Cl)Cl,3.842
ClCC(Cl)C,3.339
ClCC1CO1,3.587
ClCC=CCl,4.322
ClCCCl,2.490
ClCCOCOCCCl,2.937
ClCCP(=O)(O)O,3.044
Clc1c(Cl)ccc(c1Cl)Cl,5.600
Clc1c(Cl)cccc1Cl,4.750
Clc1c(O)c(Cl)c(c(c1Cl)Cl)Cl,5.560
Clc1c(c2ccccc2)c(Cl)c(c(c1Cl)Cl)Cl,7.610
Clc1c(ccc(c1Cl)Cl)c1ccc(c(c1Cl)Cl)Cl,8.780
Clc1cc(C)c(c(c1)Cl)O,5.632
Clc1cc(Cl)c(c(c1)Cl)Cl,4.874
Clc1cc(Cl)c(c(c1)Cl)O,4.495
Clc1cc(Cl)c(c(c1Cl)Cl)Cl,4.674
Clc1cc(Cl)c(cc1N)Cl,4.761
Clc1cc(Cl)c(cc1O)Cl,4.864
Clc1cc(Cl)c(cc1c1cc(Cl)c(cc1Cl)Cl)Cl,8.440
Clc1cc(Cl)c(cc1c1ccccc1)Cl,5.640
Clc1cc(Cl)cc(c1Oc1ccc(cc1)[N+](=O)[O-])Cl,5.878
Clc1cc(cc(c1)Cl)[N+](=O)[O-],4.434
Clc1cc(ccc1Oc1ccc(c(c1)C(=O)O)[N+](=O)[O-])C(F)(F)F,4.257
Clc1ccc(c(c1)C)O,5.691
Clc1ccc(c(c1)Cl)C,5.420
Clc1ccc(c(c1)Cl)C(Cn1cncn1)COC(C(F)F)(F)F,4.713
Clc1ccc(c(c1)Cl)Cl,4.830
Clc1ccc(c(c1)Cl)N,5.430
Clc1ccc(c(c1)Cl)O,4.797
Clc1ccc(c(c1)Cl)[N+](=O)[O-],4.660
Clc1ccc(c(c1)Cl)c1ccc(cc1Cl)Cl,6.989
Clc1ccc(c(c1)N)Cl,4.742
Clc1ccc(c(c1)O)Oc1ccc(cc1Cl)Cl,6.109
Clc1ccc(c(c1)[N+](=O)[O-])C,4.268
Clc1ccc(cc1)/C=N/N/C(=N/N=C/c1ccc(cc1)Cl)/N,6.650
Clc1ccc(cc1)Cl,4.138
Clc1ccc(cc1)Oc1ccc(cc1)NC(=O)N(C)C,4.992
Clc1ccc(cc1)S(=O)(=O)c1cc(Cl)c(cc1Cl)Cl,4.711
Clc1ccc(cc1)[N+](=O)[O-],4.310
Clc1ccc(cc1)c1ccc(cc1Cl)Cl,6.209
Clc1ccc(cc1)c1ccccc1,5.626
Clc1ccc(cc1Cl)c1ccc(c(c1)Cl)Cl,8.160
Clc1ccc(cc1c1cc(Cl)ccc1Cl)Cl,6.990
Clc1ccc2c(c1)C(=NCc1n2c(C)nc1)c1ccccc1F,6.212
Clc1ccc2c(c1)cccc2,5.500
Clc1cccc(c1)Cl,4.304
Clc1cccc(c1)[N+](=O)[O-],3.840
Clc1cccc(c1)c1ccccc1,5.641
Clc1cccc2c1cccc2,5.009
Clc1ccccc1,3.918
Clc1ccccc1Cl,4.787
CN1C2=C(C(=O)N(C1=O)C)NC=N2,2.572
CN1C=C(c2ccccc2)C(=O)C(=C1)c1cccc(c1)C(F)(F)F,4.900
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,3.028
FCC(F)(F)F,2.018
C1=C(C(=O)NC(=O)N1)F,3.716
OC(=O)C1=CN(C2CC2)c2cc(N3CCNCC3)c(F)cc2C1=O,3.742
Fc1ccc(cc1)C1(Cn2cncn2)OC1c1ccccc1Cl,4.579
Fc1ccc(cc1)C1CCNCC1COc1ccc2c(c1)OCO2,5.754
CC1=C(CCN2CCC(CC2)c2noc3cc(F)ccc23)C(=O)N2CCCCC2=N1,4.835
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C(c1ccc(cc1)Cl)C(C)C,8.582
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C1C(C1(C)C)/C=C(/C(F)(F)F)\Cl,8.678
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C1C(C1(C)C)C(C(Br)(Br)Br)Br,9.945
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C1C(C1(C)C)C=C(Cl)Cl,9.063
N#CN/C(=N\C)/NCCSCc1[nH]cnc1C,2.533
N#CSCC(=O)OC1CC2C(C1(C)CC2)(C)C,6.475
N#CSCSC#N,6.251
N#CC(c1ccc(c(c1)Oc1ccccc1)F)OC(=O)C1C(C1(C)C)C=C(Cl)Cl,9.133
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C1C(C1(C)C)C=C(Br)Br,10.047
N#Cc1ccc2c(c1)COC2(CCCN(C)C)c1ccc(cc1)F,4.920
N#Cc1ncccn1,3.340
NC(=Nc1scc(n1)CSCCC(=NS(=O)(=O)N)N)N,2.928
NC(=O)C=C,2.649
NC(=O)CC(C(=O)NC(C(CN1CC2CCCCC2CC1C(=O)NC(C)(C)C)O)Cc1ccccc1)NC(=O)c1ccc2c(n1)cccc2,4.270
NC(=O)N1c2ccccc2C=Cc2c1cccc2,4.234
NC(=O)c1c(Cl)cccc1Cl,2.348
NC(=S)N,3.884
NC(=S)Nc1ccccc1,3.476
NCC=C,3.133
NCCN,3.358
NNC(=O)c1ccncc1,3.775
Nc1cc(Cl)cc(c1)Cl,5.160
Nc1ccc(c(c1Cl)Cl)Cl,5.430
Nc1ccc(cc1)Cl,6.409
Nc1cccc(c1)N,4.263
Nc1ccccc1,5.371
C1CC(OC1CO)N2C=CC(=NC2=O)N,2.072
Nc1nc(N)c2c(n1)nc(c(n2)c1ccccc1)N,4.404
O1CC1,2.332
O1CC1c1ccccc1,4.018
O=C(C(C)C)Nc1ccc(c(c1)C(F)(F)F)[N+](=O)[O-],5.301
O=C(C1C(C1(C)C)C=C(C(F)(F)F)Cl)OCc1cccc(c1C)c1ccccc1,8.112
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(cc1)Cl,7.802
O=C(Nc1ccc(c(c1)Cl)Cl)Nc1ccc(cc1)Cl,7.478
O=C1C2(Cl)C3(C4(C1(Cl)C1(C2(C3(Cl)C(C41Cl)(Cl)Cl)Cl)Cl)Cl)Cl,6.394
O=C1C=C(C)C(=O)C(=C1C)C,5.001
O=C1C=C(C)C(=O)c2c1cccc2,5.545
O=C1C=CC2(C(N1)CCC1C2CCC2(C1CCC2C(=O)NC(C)(C)C)C)C,4.249
O=C1CCC2(C(=C1)CCC1C2CCC2(C1CCC2O)C)C,5.170
O=C1CNC(=S)N1,3.769
O=C1NC(=O)N(C1)/N=C/c1ccc(o1)[N+](=O)[O-],3.508
O=C1NCCN1,1.188
O=C1OCC(=C1)C1CCC2(C1(C)CCC1C2CCC2C1(C)CCC(C2)OC1CC(O)C(C(O1)C)OC1CC(O)C(C(O1)C)OC1CC(O)C(C(O1)C)O)O,3.884
O=C1OCC(=C1)C1CCC2(C1(C)C(O)CC1C2CCC2C1(C)CCC(C2)OC1CC(O)C(C(O1)C)OC1CC(O)C(C(O1)C)OC1CC(O)C(C(O1)C)O)O,4.566
O=CCCCC=O,3.788
O=CN(C)C,0.704
O=Cc1ccc(c(c1O)O)O,3.669
O=Cc1ccccc1,3.976
O=N(=O)c1ccccc1O,4.024
O=NN(c1ccccc1)c1ccccc1,4.403
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,5.512
O=S(c1nc2c([nH]1)cccc2)Cc1nccc(c1C)OCC(F)(F)F,4.225
O=S1(=O)C=Cc2c1cccc2,4.072
O=S1(=O)c2ccccc2c2c1cccc2,4.570
O=S1OCC2C(CO1)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,6.075
O=C1NC(=S)NC=C1,4.221
O=C1Oc2ccccc2C=C1,4.032
CN1C(=NC(=O)N(C1=O)C2CCCCC2)N(C)C,3.220
O=S1c2ccccc2-c2ccccc12,4.001
OC(=O)C(OC(=O)c1cc(ccc1N(=O)=O)Oc1ccc(cc1Cl)C(F)(F)F)C,4.501
OC(=O)C(c1cccc(c1)C(=O)c1ccccc1)C,3.599
OC(=O)C1(C)CCCC2(C1CCc1c2ccc(c1)C(C)C)C,4.560
OC(=O)CN(CC(=O)O)CC(=O)O,2.736
OC(=O)COc1ccc(cc1C)Cl,3.047
OC(=O)COc1ccc(cc1Cl)Cl,3.783
OC(=O)C1C2C3(C4C51CC(=C)C(C5)(O)CC4)C=CC(C2(C)C(=O)O3)O,4.187
OC(=O)c1ccccc1O,3.068
OC(=O)c1nc(Cl)c(c(c1Cl)N)Cl,3.644
OC(C(C)(C)C)C(n1ncnc1)Cc1ccc(cc1)Cl,4.010
OC(COc1cc(C)c(c(c1C)C)OC(=O)C)CNC(C)C,3.917
OC(COc1ccc(cc1)CC(=O)N)CNC(C)C,3.902
OC(COc1cccc2c1CC(O)C(C2)O)CNC(C)(C)C,3.277
OC(COc1cccc2c1c1ccccc1[nH]2)CNC(C)C,4.305
OCC(=O)C1(O)CCC2C1(C)CC(O)C1C2C=C(C2=CC(=O)C=CC12C)Cl,3.961
OCC(C)C,1.820
OCC(Cl)(Cl)Cl,3.002
OCCNCCO,2.957
OCCO,0.122
OCCOCC,1.070
OCCOCCOCC,1.530
OCC1OC(OC2C(OC3C(O)C(O)C(C(C3N=C(N)N)O)N=C(N)N)OC(C2(O)C=O)C)C(C(C1O)O)NC,3.077
OCC(C(c1ccc(cc1)[N+](=O)[O-])O)NC(=O)C(Cl)Cl,3.025
OCC1OC(C(C1OC1OC(CN)C(C(C1N)O)O)O)OC1C(O)C(N)CC(C1OC1OC(CO)C(C(C1N)O)O)N,3.088
OC1CC(=CC(C1O)O)C(=O)O,3.177
OC1CC2(C)C(CC1O)C(=O)C=C1C2CCC2(C1(O)CCC2C(C(CCC(O)(C)C)O)(O)C)C,5.291
Oc1ccc(c(c1)C)Cl,4.852
Oc1ccc(cc1)Br,4.464
Oc1ccc(cc1)Cl,4.426
Oc1ccc(cc1)[N+](=O)[O-],4.016
Oc1ccc(cc1)c1ccccc1,4.668
Oc1ccc2c(c1)CCC1C2CCC2(C1CCC2O)C,4.962
Oc1ccc2c(c1)cccc2,4.610
Oc1ccccc1,3.850
Oc1ccccc1Cl,4.238
Oc1ccccc1c1ccccc1,5.380
S=C1NCCN1,3.589
S=C=NC(=O)c1ccccc1,4.932
S=C=NCCc1ccccc1,6.099
S=C=NCc1ccccc1,6.540
S=C=Nc1ccc(cc1)N=C=S,6.399
S=C=Nc1ccccc1,6.131
S=C=S,4.560
S=P(N1CC1)(N1CC1)N1CC1,2.540
SC1=Nc2ccccc2S1,4.494
SCC(C(CS)O)O,3.758
[O-][N+](=O)NC1=NCCN1Cc1ccc(nc1)Cl,4.168
[O-][N+](=O)OC(CO[N+](=O)[O-])CO[N+](=O)[O-],3.850
[O-][N+](=O)OCCOCCO[N+](=O)[O-],3.339
[O-][N+](=O)c1c(C)cccc1[N+](=O)[O-],5.441
[O-][N+](=O)c1cc(C(=O)N)c(c(c1)[N+](=O)[O-])C,3.138
[O-][N+](=O)c1cc(C)c(c(c1)[N+](=O)[O-])O,4.790
[O-][N+](=O)c1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])C,4.390
[O-][N+](=O)c1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])O,3.430
[O-][N+](=O)c1ccc(c(c1)C)C,3.978
[O-][N+](=O)c1ccc(c(c1)Cl)N,4.489
[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])C,3.718
[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])Cl,5.402
[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])O,4.606
[O-][N+](=O)c1cccc(c1)[N+](=O)[O-],3.591
[O-][N+](=O)c1cccc(c1C)C,4.558
[O-][N+](=O)c1cccc(c1C)Cl,4.611
[O-][N+](=O)c1cccc(c1Cl)Cl,4.620
[O-][N+](=O)c1ccccc1,3.615
[O-][N+](=O)c1ccccc1C,4.140
c1cc2cccc3c2c(c1)CC3,3.575
c1cc[n+]2c(c1)c1cccc[n+]1CC2,5.010
c1ccc(cc1)Oc1ccccc1,5.433
c1ccc(cc1)c1ccccc1,4.909
c1ccc2c(c1)[nH]c1c2cccc1,4.700
c1ccc2c(c1)[nH]cc2,5.069
c1ccc2c(c1)c1ccc3c4c1c(c2)ccc4ccc3,6.004
c1ccc2c(c1)c1cccc3c1c2ccc3,6.281
c1ccc2c(c1)c1ccccc1cc2,5.406
c1ccc2c(c1)cc1c(c2)cccc1,6.700
c1ccc2c(c1)ccc1c2c2ccccc2o1,4.737
c1ccc2c(c1)ccc1c2c2ccccc2s1,6.027
c1ccc2c(c1)cccc2,4.147
c1ccc2c(c1)cncc2,3.711
c1ccc2c(c1)nc1c(c2)cccc1,4.851
c1ccc2c(c1)nccc2,3.530
c1ccc2c(c1)sc(n2)SSc1nc2c(s1)cccc2,3.619
c1ccc2c(c1)sc1c2cccc1,5.597
c1ccc2c(c1)scc2,3.357
c1cccnc1,1.815
c1cccs1,2.421
c1coc(c1)CNc1ncnc2c1[nH]cn2,5.054
BrC1CCCCC1,3.890
C/C=C/CC(C(C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)O)C,4.779
C=C1C2CCC(C1(C)C)C2,3.792
C=CC=O,5.993
CC#N,1.057
CC(=O)OC(C1CCC(=CC1)C)(C)C,4.886
CC(=O)OC1CCC2C1(C)C=CC1=C3CCC(=O)C=C3CCC21,5.541
CC(=S)N,3.638
CC(CC(O)(C)C)O,1.220
CC(COc1ccccc1)O,2.614
CC(OC(=O)Nc1cccc(c1)Cl)C,4.762
CC(OP(=O)(OC(C)C)C)C,2.829
CC/C(=C(\c1ccc(cc1)O)/CC)/c1ccc(cc1)O,5.370
CC1CCCCC1,4.819
