SMILES,LC50_mol/L
CC(c1cc(/N=N/c2ccc(cc2)S(=O)(=O)c2ccc(cc2)/N=N/c2cc(C(C)C)c(cc2C)O)c(cc1O)C)C,3.6307805477010103e-06
CC(c1cc(Br)c(c(c1)Br)O)(c1cc(Br)c(c(c1)Br)O)C,1.452111617587742e-05
CC(c1ccc(cc1)Cl)c1ccc(cc1)Cl,1.3867558288718896e-07
CC(c1ccc(cc1)O)(CC(C)(C)C)C,4.3651583224016567e-07
CC(c1ccc(cc1)O)(c1ccc(cc1)O)C,5.000345349769783e-05
CC(c1ccccc1)C,0.0001690440931643265
CCc1ccccc1N,6.622165037017616e-05
CC1=CC(=O)CC(C1)(C)C,0.0008689604292863019
CC1=CC=C(CC1)C(C)C,1.3583134465871541e-05
CC1=CCC(CC1)C(=C)C,4.2364296604954095e-06
CC1=CCC2CC1C2(C)C,0.0003006076302628232
CC=O,0.28183829312644537
CCC(=O)Nc1ccc(c(c1)Cl)Cl,1.931968317016922e-05
CCC(=O)O,0.0006760829753919819
CCC(C(CO)C)O,0.06025595860743578
CCC(Cl)Cl,0.0002338837238659356
CCC(Nc1c(cc(c(c1[N+](=O)[O-])C)C)[N+](=O)[O-])CC,0.00018836490894898002
CCC(c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-])C,1.0e-06
CCC(c1ccccc1OC(=O)NC)C,4.78630092322638e-07
CCC1(C(=O)NC(=O)NC1=O)c1ccccc1,0.006295061828571974
CCC=O,0.0015310874616820303
CCCC(=O)Nc1ccc(c(c1)C(=O)C)OCC(CNC(C)C)O,0.0001517050367459337
CCCC(=O)O,0.0006918309709189362
CCCC1COC(O1)(Cn1cncn1)c1ccc(cc1Cl)Cl,1.9054607179632484e-05
CCCC1OC2C(O1)(C(=O)CO)C1(C(C2)C2CCC3=CC(=O)C=CC3(C2C(C1)O)C)C,4.645152752227492e-05
CCCCC,0.00013489628825916533
CCCCC(=O)O,0.0004385306977749856
CCCCC(C(=O)O)CC,0.0008317637711026709
CCCCC(CO)CC,0.0007673614893618186
CCCCC(COC(=O)CCCCC(=O)OCC(CCCC)CC)CC,1.7823787674480908e-06
CCCCC(COC(=O)c1ccccc1C(=O)OCC(CCCC)CC)CC,2.818382931264455e-05
CCCCC(COP(=O)(Oc1ccccc1)Oc1ccccc1)CC,4.1399967481973044e-07
CCCCCC,4.5708818961487516e-05
CCCCCCCCCCCC(CC1OC(=O)C1CCCCCC)OC(=O)C(CC(C)C)NC=O,1.4125375446227555e-05
CCCCCCCCCc1ccc(cc1)O,8.629785477669702e-07
CCCCCCCCc1ccc(cc1)O,4.3651583224016567e-07
CCCCCCCCn1sccc1=O,8.433347577642757e-07
CCCCCCCO,0.0005942921586155727
CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O,0.002365919697485759
CCCCN(C(=O)SCCC)CC,3.357376142429545e-05
CCCCN=C=S,3.723917062545683e-06
CCCCNC(=O)OCC#CI,1.4190575216890925e-07
CCCCNC(=S)N,0.0001412537544622754
CCCCOC(=O)c1ccccc1C(=O)OCCCC,1.3243415351946644e-05
CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,6.456542290346549e-06
CCCCOCCCC,0.00019952623149688788
CCCCOCCOCCOCc1cc2OCOc2cc1CCC,5.116818355403073e-06
CCCCOP(=O)(Oc1ccccc1)OCCCC,9.078205301781861e-07
CCCCc1ccccc1,2.831391995799379e-06
CCCN(C(=O)SCC)CCC,2.466039337234341e-05
CCCN(C(=S)SSC(=S)N(CCC)CCC)CCC,6.486344335482388e-07
CCCN(c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-])CCC,5.754399373371567e-07
CCCO,0.11614486138403426
CCCOC(=O)NCCCN(C)C,0.0005623413251903491
CCCS,7.906786279998245e-07
CCCSP(=O)(SCCC)OCC,2.6363313858253816e-07
CCCSc1ccc2c(c1)nc([nH]2)NC(=O)OC,9.036494737223023e-08
CCN(c1nc(cc(n1)C)OP(=S)(OC)OC)CC,7.244359600749891e-10
CCN=C=S,4.920395356814511e-06
CCNC(=S)NCC,0.001452111617587742
CCNC(=S)Nc1ccccc1,0.0004456562483975033
CCNc1nc(NCC)nc(n1)Cl,0.00046665938031428865
CCNc1nc(nc(n1)Cl)NC(C#N)(C)C,3.5727283815192885e-07
CCO,0.2570395782768864
CCOC(=O)C(OC(=O)c1cc(ccc1[N+](=O)[O-])Oc1ccc(cc1Cl)C(F)(F)F)C,9.332543007969906e-06
CCOC(=O)CC,0.0014893610777109154
CCOC(=O)CC(=O)OCC,0.0012618275345906706
CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,4.477133041763623e-09
CCOC(=O)c1ccccc1C(=O)OCC,0.0002494594726942954
CCOC(=O)c1ocnc1C,0.0021478304741305333
CCOCC,0.018620871366628676
CCOP(=O)(Oc1ccc(cc1)[N+](=O)[O-])OCC,7.227698036021703e-10
CCOP(=S)(OCC)SCSc1ccc(cc1)Cl,3.6140986263961314e-07
CCOP(=S)(Oc1cc(C)nc(n1)C(C)C)OCC,2.7289777828080406e-09
CCOP(=S)(Oc1ccc(cc1)[N+](=O)[O-])OCC,7.0794578438413736e-09
CCOP(=S)(Oc1nc(Cl)c(cc1Cl)Cl)OCC,1.415793779957081e-09
CCOP(=S)(SCSC(C)(C)C)OCC,6.2086903423006245e-09
CCOc1cc(ccc1C(=O)OC)NC(=O)C,0.0008472274141405964
CCOc1ccc2c(c1)C(=CC(N2)(C)C)C,9.204495717531723e-06
CCP(=S)(Sc1ccccc1)OCC,3.288516308759833e-08
CCS,2.7415741719278807e-06
CCSC(=O)N1CCCCCC1,3.655947916131247e-05
CCSCSP(=S)(OCC)OCC,7.447319739059889e-08
CCC1OC(=O)C(C)C(OC2OC(C)C(C(C2)(C)OC)O)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(CC(C(=O)C(C(C1(C)O)O)C)C)(C)O,0.0005284452517751802
CCC1OC(=O)C(C)C(OC2OC(C)C(C(C2)(C)OC)O)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(CC(CN(C(C(C1(C)O)O)C)C)C)(C)O,0.0001603245390690042
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(C(O2)C)O)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(CC(C(=O)C(C(C1(C)O)O)C)C)(C)OC,2.5003453616964294e-05
CCc1ccc(cc1)C(=O)NN(C(C)(C)C)C(=O)c1cc(C)cc(c1)C,4.931738039549354e-05
CCc1ccc(cc1)N,7.413102413009177e-07
CCc1ccc(nc1)C,0.0003303695410368149
CCc1nc(N)nc(c1c1ccc(cc1)Cl)N,2.3334580622810045e-05
CCN1C=C(C(O)=O)C(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c12,0.00036982817978026625
CN(C(=O)N(C)C)C,0.025061092530321138
CN(C(=O)Oc1nc(nc(c1C)C)N(C)C)C,9.18332596483581e-08
CN(C(=S)N(C)C)C,0.005861381645140285
CN(C(=S)N)C,0.00040550853544838394
CN(C(=S)SC(=S)N(C)C)C,1.3867558288718896e-05
CN(C(=S)SSC(=S)N(C)C)C,8.729713683881113e-07
CN(C(CSC(=O)N)CSC(=O)N)C,4.187935651179183e-08
CN(P(=O)(N(C)C)N(C)C)C,0.03715352290971726
CN(C1C(=C(C(=O)N)C(=O)C2(C1CC1C(=C2O)C(=O)c2c(C1(C)O)c(Cl)ccc2O)O)O)C,0.0002673006408663312
CN(C1C(=C(C(=O)N)C(=O)C2(C1CC1C(=C2O)C(=O)c2c(C1(C)O)cccc2O)O)O)C,3.715352290971728e-07
CN(c1ccccc1)C,4.120975190973304e-05
CN(c1ccccc1)C(=S)N,0.0005035006087879048
CN/C(=C/[N+](=O)[O-])/NCCSCc1ccc(o1)CN(C)C,0.0020653801558105293
CN1CCCC1c1cccnc1,1.8492686189780796e-05
CC1COc2c(N3CCN(C)CC3)c(F)cc3C(=O)C(=CN1c23)C(O)=O,0.00021183611352485022
CN1CN(C)CSC1=S,3.3884415613920275e-06
CNC(=O)/C=C(/OP(=O)(OC)OC)\C,1.7378008287493763e-06
CNC(=O)CSP(=S)(OC)OC,7.413102413009177e-06
CNC(=O)O/N=C(/C(=O)N(C)C)\SC,7.585775750291836e-06
CNC(=O)O/N=C/C(S(=O)(=O)C)(C)C,1.2589254117941661e-06
CNC(=O)O/N=C/C(SC)(C)C,2.8119008303989394e-06
CNC(=O)Oc1cccc2c1OC(C2)(C)C,3.019951720402019e-07
CNC(=O)Oc1cccc2c1OC(O2)(C)C,1.309181922999407e-07
CNC(=O)Oc1cccc2c1cccc2,1.1428783347897713e-06
CNC(=S)N,0.00010495424286523221
CNC(=S)N(C)C,0.006486344335482381
CNS(=O)(=O)Cc1ccc2c(c1)c(CCN(C)C)c[nH]2,0.0009817479430199844
CNc1ccccc1,1.6218100973589298e-06
CO,0.10256519262514076
CO/N=C(\c1ccccc1CO/N=C(/c1cccc(c1)C(F)(F)F)\C)/C(=O)OC,1.8113400926196026e-06
COC(=O)N(c1ccccc1COc1ccn(n1)c1ccc(cc1)Cl)OC,1.7538805018417602e-07
COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC,4.677351412871981e-05
COC(=O)Nc1cccc(c1)OC(=O)Nc1cccc(c1)C,2.228435149270303e-05
COC(=O)c1ccccc1C(=O)OC,0.00016982436524617443
COC(CCCC(C/C=C/C(=C/C(=O)OC(C)C)/C)C)(C)C,3.3496543915782793e-06
COCC(=O)N(c1c(C)cccc1C)C(C(=O)OC)C,0.0002910717118066605
COCC(N(c1c(C)cccc1CC)C(=O)CCl)C,4.58141886714533e-05
COCC(O)C,0.2570395782768864
COCC(OC(=O)C)C,0.0030831879502493534
COCC(OCC(O)C)C,0.012941958414499863
COP(=O)(C(C(Cl)(Cl)Cl)O)OC,1.999861869632745e-08
COP(=O)(NC(=O)C)SC,7.816278045883292e-05
COP(=O)(SC)N,2.409905428686593e-07
COP(=S)(Oc1ccc(c(c1)C)[N+](=O)[O-])OC,2.133044913146575e-08
COP(=S)(Oc1ccc(cc1)[N+](=O)[O-])OC,4.56036915951296e-08
COP(=S)(OC)SCN1N=Nc2ccccc2C1=O,1.3867558288718896e-08
COc1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,9.727472237769661e-08
COc1c(O)c(Cl)c(c(c1Cl)Cl)Cl,6.668067692136218e-07
COc1c(O)cc(c(c1Cl)Cl)Cl,2.9716660317380253e-06
COc1c([N+](=O)[O-])c(C)c(cc1C(C)(C)C)[N+](=O)[O-],2.312064790175594e-06
COc1cc(Cl)c(c(c1O)Cl)Cl,4.24619563946313e-06
COc1ccc(cc1)N,2.685344445658509e-06
COc1ccc(cc1Cl)NC(=O)N(C)C,0.0006998419960022738
COc1ccc2c(c1)nc([nH]2)S(=O)Cc1ncc(c(c1C)OC)C,0.0002546830252585042
COc1cccc(c1)N,2.280342072000416e-06
COc1cccc(c1)O,0.0003311311214825911
COc1ccccc1,0.00036982817978026625
COc1ccccc1N,9.749896377173867e-05
COc1ccccc1O,0.00020892961308540387
COc1ccccc1OCCNCC(COc1cccc2c1c1ccccc1[nH]2)O,7.379042301291015e-06
CSc1ccc(cc1C)OP(=S)(OC)OC,1.6218100973589298e-07
CSc1nc(NC2CC2)nc(n1)NC(C)(C)C,3.273406948788379e-05
CSc1nc(nc(n1)N)NC(C)(C)C,5.1522864458175614e-05
Cc1cc(C)c(cc1C)C,3.548133892335753e-06
Cc1ccc(c(c1)C)C,2.951209226666384e-05
Cc1ccc(c(c1)C)O,1.7179083871575893e-05
Cc1ccc(cc1)C,0.0002992264636608189
Cc1ccc(cc1)C(=O)c1cc(O)c(c(c1)[N+](=O)[O-])O,7.244359600749906e-05
Cc1ccc(cc1)C(C)C,4.819477976251272e-05
Cc1ccc(cc1)Cl,1.166809617060963e-05
Cc1ccc(cc1)O,0.00019498445997580456
Cc1ccc2c(c1)ccc(n2)C,0.00024099054286865954
Cc1ccc2c(c1)cccc2,1.0471285480508985e-05
Cc1ccc2c(c1)ccs2,9.440608762859227e-05
Cc1cccc(c1)C,0.0002223309890651403
Cc1cccc(c1)N,6.792036326171843e-06
Cc1cccc(c1)O,0.00017378008287493763
Cc1cccc(c1)[N+](=O)[O-],9.120108393559096e-05
Cc1cccc2c1cccc2,9.977000638225525e-06
Cc1ccccc1C,0.00016180800376430662
Cc1ccccc1O,0.00013708817661648538
CC1=CN(C(=O)NC1=O)C2C=CC(O2)CO,0.004375221051582521
Cc1csc2c1cccc2,1.7538805018417602e-05
ClC(=C(Cl)Cl)Cl,9.954054173515275e-05
ClC(=C)Cl,0.0005248074602497728
ClC(=CC1C(C1(C)C)C(=O)OCc1cccc(c1)Oc1ccccc1)Cl,8.570378452303692e-09
ClC(=O)C(C)(C)C,0.002654605561975539
ClC(C(Cl)(Cl)Cl)(Cl)Cl,1.1830415557251658e-05
ClC(C(Cl)(Cl)Cl)Cl,6.516283940608428e-05
ClC(C(Cl)Cl)Cl,0.0003467368504525317
ClC(C(F)(F)F)Cl,0.00011117317272815909
ClC(C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)(Cl)Cl,5.3579665751334064e-09
ClC(Cl)(Cl)Cl,0.00022750974307720717
ClC(Cl)Cl,0.0005571857489319299
ClC1=C(Cl)C(C(=C1Cl)Cl)(Cl)Cl,1.9054607179632483e-07
ClC1=C(Cl)C2(C(C1(Cl)C1C2C2CC1C1C2O1)(Cl)Cl)Cl,3.1045595881283557e-07
ClC1=C(Cl)C2(C(C1(Cl)C1C2COS(=O)(=O)OC1)(Cl)Cl)Cl,5.011872336272725e-06
ClC1C2OC2C2C1C1(Cl)C(=C(C2(C1(Cl)Cl)Cl)Cl)Cl,6.165950018614822e-07
ClC1C=CC2C1C1(Cl)C(=C(C2(C1(Cl)Cl)Cl)Cl)Cl,1.671090614310707e-07
ClC1CC2C(C1Cl)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,2.382319469358689e-07
ClC=C(Cl)Cl,0.0003273406948788383
ClC=CCl,0.0022803420720004185
ClCC(CCl)Cl,0.00022130947096056386
ClCC(Cl)(Cl)Cl,0.00014387985782558451
ClCC(Cl)C,0.0004581418867145335
ClCC1CO1,0.000258821291515309
ClCC=CCl,4.7643098680541567e-05
ClCCCl,0.003235936569296281
ClCCOCOCCCl,0.0011561122421920992
ClCCP(=O)(O)O,0.0009036494737223014
Clc1c(Cl)ccc(c1Cl)Cl,2.5118864315095823e-06
Clc1c(Cl)cccc1Cl,1.778279410038923e-05
Clc1c(O)c(Cl)c(c(c1Cl)Cl)Cl,2.754228703338169e-06
Clc1c(c2ccccc2)c(Cl)c(c(c1Cl)Cl)Cl,2.4547089156850285e-08
Clc1c(ccc(c1Cl)Cl)c1ccc(c(c1Cl)Cl)Cl,1.6595869074375631e-09
Clc1cc(C)c(c(c1)Cl)O,2.3334580622810043e-06
Clc1cc(Cl)c(c(c1)Cl)Cl,1.3365955165464433e-05
Clc1cc(Cl)c(c(c1)Cl)O,3.1988951096913973e-05
Clc1cc(Cl)c(c(c1Cl)Cl)Cl,2.1183611352485e-05
Clc1cc(Cl)c(cc1N)Cl,1.7338039977541374e-05
Clc1cc(Cl)c(cc1O)Cl,1.3677288255958495e-05
Clc1cc(Cl)c(cc1c1cc(Cl)c(cc1Cl)Cl)Cl,3.6307805477010177e-09
Clc1cc(Cl)c(cc1c1ccccc1)Cl,2.2908676527677747e-06
Clc1cc(Cl)cc(c1Oc1ccc(cc1)[N+](=O)[O-])Cl,1.3243415351946642e-06
Clc1cc(cc(c1)Cl)[N+](=O)[O-],3.681289736425313e-05
Clc1cc(ccc1Oc1ccc(c(c1)C(=O)O)[N+](=O)[O-])C(F)(F)F,5.533501092157371e-05
Clc1ccc(c(c1)C)O,2.037042077705719e-06
Clc1ccc(c(c1)Cl)C,3.801893963205613e-06
Clc1ccc(c(c1)Cl)C(Cn1cncn1)COC(C(F)F)(F)F,1.936421963946607e-05
Clc1ccc(c(c1)Cl)Cl,1.4791083881682072e-05
Clc1ccc(c(c1)Cl)N,3.7153522909717276e-06
Clc1ccc(c(c1)Cl)O,1.5958791472367336e-05
Clc1ccc(c(c1)Cl)[N+](=O)[O-],2.187761623949552e-05
Clc1ccc(c(c1)Cl)c1ccc(cc1Cl)Cl,1.025651926251408e-07
Clc1ccc(c(c1)N)Cl,1.8113400926196025e-05
Clc1ccc(c(c1)O)Oc1ccc(cc1Cl)Cl,7.78036551039804e-07
Clc1ccc(c(c1)[N+](=O)[O-])C,5.395106225151279e-05
Clc1ccc(cc1)/C=N/N/C(=N/N=C/c1ccc(cc1)Cl)/N,2.2387211385683377e-07
Clc1ccc(cc1)Cl,7.277798045368242e-05
Clc1ccc(cc1)Oc1ccc(cc1)NC(=O)N(C)C,1.018591388054117e-05
Clc1ccc(cc1)S(=O)(=O)c1cc(Cl)c(cc1Cl)Cl,1.9453600816226613e-05
Clc1ccc(cc1)[N+](=O)[O-],4.897788193684466e-05
Clc1ccc(cc1)c1ccc(cc1Cl)Cl,6.180164001384164e-07
Clc1ccc(cc1)c1ccccc1,2.3659196974857563e-06
Clc1ccc(cc1Cl)c1ccc(c(c1)Cl)Cl,6.918309709189363e-09
Clc1ccc(cc1c1cc(Cl)ccc1Cl)Cl,1.0232929922807536e-07
Clc1ccc2c(c1)C(=NCc1n2c(C)nc1)c1ccccc1F,6.137620051647946e-07
Clc1ccc2c(c1)cccc2,3.162277660168379e-06
Clc1cccc(c1)Cl,4.965923214503358e-05
Clc1cccc(c1)[N+](=O)[O-],0.0001445439770745928
Clc1cccc(c1)c1ccccc1,2.28559880337543e-06
Clc1cccc2c1cccc2,9.79489985408698e-06
Clc1ccccc1,0.00012078138351067798
Clc1ccccc1Cl,1.6330519478943346e-05
CN1C2=C(C(=O)N(C1=O)C)NC=N2,0.0026791683248190315
CN1C=C(c2ccccc2)C(=O)C(=C1)c1cccc(c1)C(F)(F)F,1.2589254117941661e-05
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,0.0009375620069258802
FCC(F)(F)F,0.009594006315159337
C1=C(C(=O)NC(=O)N1)F,0.00019230917289101576
OC(=O)C1=CN(C2CC2)c2cc(N3CCNCC3)c(F)cc2C1=O,0.00018113400926196026
Fc1ccc(cc1)C1(Cn2cncn2)OC1c1ccccc1Cl,2.6363313858253814e-05
Fc1ccc(cc1)C1CCNCC1COc1ccc2c(c1)OCO2,1.761976046411631e-06
CC1=C(CCN2CCC(CC2)c2noc3cc(F)ccc23)C(=O)N2CCCCC2=N1,1.4621771744567184e-05
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C(c1ccc(cc1)Cl)C(C)C,2.618183008218981e-09
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C1C(C1(C)C)/C=C(/C(F)(F)F)\Cl,2.09893988362352e-09
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C1C(C1(C)C)C(C(Br)(Br)Br)Br,1.1350108156723143e-10
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C1C(C1(C)C)C=C(Cl)Cl,8.64967918775692e-10
N#CN/C(=N\C)/NCCSCc1[nH]cnc1C,0.0029308932452503213
N#CSCC(=O)OC1CC2C(C1(C)CC2)(C)C,3.3496543915782793e-07
N#CSCSC#N,5.6104797603247e-07
N#CC(c1ccc(c(c1)Oc1ccccc1)F)OC(=O)C1C(C1(C)C)C=C(Cl)Cl,7.362070974947376e-10
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C1C(C1(C)C)C=C(Br)Br,8.974287945007473e-11
N#Cc1ccc2c(c1)COC2(CCCN(C)C)c1ccc(cc1)F,1.2022644346174132e-05
N#Cc1ncccn1,0.0004570881896148752
NC(=Nc1scc(n1)CSCCC(=NS(=O)(=O)N)N)N,0.0011803206356517297
NC(=O)C=C,0.002243881923782766
NC(=O)CC(C(=O)NC(C(CN1CC2CCCCC2CC1C(=O)NC(C)(C)C)O)Cc1ccccc1)NC(=O)c1ccc2c(n1)cccc2,5.3703179637025325e-05
NC(=O)N1c2ccccc2C=Cc2c1cccc2,5.8344510427374476e-05
NC(=O)c1c(Cl)cccc1Cl,0.004487453899331323
NC(=S)N,0.00013061708881318418
NC(=S)Nc1ccccc1,0.0003341950400261143
NCC=C,0.000736207097494736
NCCN,0.0004385306977749856
NNC(=O)c1ccncc1,0.00016788040181225607
Nc1cc(Cl)cc(c1)Cl,6.9183097091893625e-06
Nc1ccc(c(c1Cl)Cl)Cl,3.7153522909717276e-06
Nc1ccc(cc1)Cl,3.899419866765436e-07
Nc1cccc(c1)N,5.4575786109127105e-05
Nc1ccccc1,4.255984131337426e-06
C1CC(OC1CO)N2C=CC(=NC2=O)N,0.008472274141405963
Nc1nc(N)c2c(n1)nc(c(n2)c1ccccc1)N,3.9445730207527845e-05
O1CC1,0.004655860935229591
O1CC1c1ccccc1,9.594006315159336e-05
O=C(C(C)C)Nc1ccc(c(c1)C(F)(F)F)[N+](=O)[O-],5.000345349769783e-06
O=C(C1C(C1(C)C)C=C(C(F)(F)F)Cl)OCc1cccc(c1C)c1ccccc1,7.726805850957022e-09
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(cc1)Cl,1.57761126969935e-08
O=C(Nc1ccc(c(c1)Cl)Cl)Nc1ccc(cc1)Cl,3.326595532940047e-08
O=C1C2(Cl)C3(C4(C1(Cl)C1(C2(C3(Cl)C(C41Cl)(Cl)Cl)Cl)Cl)Cl)Cl,4.0364539296760486e-07
O=C1C=C(C)C(=O)C(=C1C)C,9.977000638225525e-06
O=C1C=C(C)C(=O)c2c1cccc2,2.85101826750391e-06
O=C1C=CC2(C(N1)CCC1C2CCC2(C1CCC2C(=O)NC(C)(C)C)C)C,5.636376558259549e-05
O=C1CCC2(C(=C1)CCC1C2CCC2(C1CCC2O)C)C,6.760829753919819e-06
O=C1CNC(=S)N1,0.000170215850839495
O=C1NC(=O)N(C1)/N=C/c1ccc(o1)[N+](=O)[O-],0.00031045595881283556
O=C1NCCN1,0.06486344335482384
O=C1OCC(=C1)C1CCC2(C1(C)CCC1C2CCC2C1(C)CCC(C2)OC1CC(O)C(C(O1)C)OC1CC(O)C(C(O1)C)OC1CC(O)C(C(O1)C)O)O,0.00013061708881318418
O=C1OCC(=C1)C1CCC2(C1(C)C(O)CC1C2CCC2C1(C)CCC(C2)OC1CC(O)C(C(O1)C)OC1CC(O)C(C(O1)C)OC1CC(O)C(C(O1)C)O)O,2.7164392688390837e-05
O=CCCCC=O,0.0001629296032639723
O=CN(C)C,0.19769696401118608
O=Cc1ccc(c(c1O)O)O,0.00021428906011200583
O=Cc1ccccc1,0.00010568175092136585
O=N(=O)c1ccccc1O,9.46237161365793e-05
O=NN(c1ccccc1)c1ccccc1,3.953666200681283e-05
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,3.076096814740711e-06
O=S(c1nc2c([nH]1)cccc2)Cc1nccc(c1C)OCC(F)(F)F,5.9566214352901096e-05
O=S1(=O)C=Cc2c1cccc2,8.472274141405963e-05
O=S1(=O)c2ccccc2c2c1cccc2,2.691534803926914e-05
O=S1OCC2C(CO1)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,8.413951416451948e-07
O=C1NC(=S)NC=C1,6.011737374832779e-05
O=C1Oc2ccccc2C=C1,9.289663867799363e-05
CN1C(=NC(=O)N(C1=O)C2CCCCC2)N(C)C,0.0006025595860743575
O=S1c2ccccc2-c2ccccc12,9.977000638225525e-05
OC(=O)C(OC(=O)c1cc(ccc1N(=O)=O)Oc1ccc(cc1Cl)C(F)(F)F)C,3.1550046233746243e-05
OC(=O)C(c1cccc(c1)C(=O)c1ccccc1)C,0.00025176769277588545
OC(=O)C1(C)CCCC2(C1CCc1c2ccc(c1)C(C)C)C,2.754228703338169e-05
OC(=O)CN(CC(=O)O)CC(=O)O,0.0018365383433483456
OC(=O)COc1ccc(cc1C)Cl,0.0008974287945007481
OC(=O)COc1ccc(cc1Cl)Cl,0.00016481623915255085
OC(=O)C1C2C3(C4C51CC(=C)C(C5)(O)CC4)C=CC(C2(C)C(=O)O3)O,6.501296903430902e-05
OC(=O)c1ccccc1O,0.0008550667128846832
OC(=O)c1nc(Cl)c(c(c1Cl)N)Cl,0.00022698648518838213
OC(C(C)(C)C)C(n1ncnc1)Cc1ccc(cc1)Cl,9.772372209558111e-05
OC(COc1cc(C)c(c(c1C)C)OC(=O)C)CNC(C)C,0.00012105981335504829
OC(COc1ccc(cc1)CC(=O)N)CNC(C)C,0.00012531411749414155
OC(COc1cccc2c1CC(O)C(C2)O)CNC(C)(C)C,0.0005284452517751802
OC(COc1cccc2c1c1ccccc1[nH]2)CNC(C)C,4.954501908047905e-05
OCC(=O)C1(O)CCC2C1(C)CC(O)C1C2C=C(C2=CC(=O)C=CC12C)Cl,0.00010939563662720942
OCC(C)C,0.01513561248436208
OCC(Cl)(Cl)Cl,0.0009954054173515275
